"translation","source"
"Ei, você tem certeza de que estamos seguros com o velho Olhos de Bug lá?{#Name=""Dito""}","Hey, uh, you sure we're safe with old Bug Eyes over there?{#Name=""Dito""}"
"Ainda estamos no território da Three, você sabe?{LF}Ele poderia nos apunhalar pelas costas a qualquer momento.{#Name=""Dito""}","We're still in Three's territory, ya know?{LF}He could stab us in the back pretty much anytime.{#Name=""Dito""}"
"Eu recebo homens do meu lado e então eu os deito.{LF}É assim que funciona.{#Name=""Zero""}","I welcome men to my side, and then I bed them.{LF}That's just how it works.{#Name=""Zero""}"
"Vou me preocupar com tudo mais tarde.{#Name=""Zero""}","I'll worry about everything else later.{#Name=""Zero""}"
"Isso é muito acomodador.{LF}...De muitas maneiras.{#Name=""Dito""}","That's rather accommodating.{LF}...In a lot of ways.{#Name=""Dito""}"
"Sério, então...{LF}Você faria sexo com aquela velha ossuda?{#Name=""Dito""}","Seriously, though...{LF}You'd bump uglies with that old bag of bones?{#Name=""Dito""}"
"Lady Three deve estar em pânico agora que seu próprio{LF}discípulo a traiu.{#Name=""Decadus""}","Lady Three must be in a panic now that her own{LF}disciple has betrayed her.{#Name=""Decadus""}"
"Espero que ela mantenha a cabeça no lugar.{LF}Aquelas tesouras gigantes dela são perigosas.{#Name=""Zero""}","Hopefully she keeps her head on straight.{LF}Those giant scissors of hers are dangerous.{#Name=""Zero""}"
"Tesouras? Ela tem...tesouras!?{LF}Você pode causar dor exquisita com tesouras! Nnngh...{#Name=""Decadus""}","Scissors? She has...scissors!?{LF}You can cause such exquisite pain with scissors! Nnngh...{#Name=""Decadus""}"
"Grande fã de tesouras, é?{#Name=""Zero""}","Big fan of scissors, are we?{#Name=""Zero""}"
"Sim, se elas estiverem cortando o pau dele...{#Name=""Dito""}","Yeah, if they're cuttin' off his junk...{#Name=""Dito""}"
"Não posso esperar para ver os brinquedos da Lady Three.{LF}Er, suas tesouras! Ahhh...{#Name=""Decadus""}","I can't wait to see Lady Three's toys.{LF}Er, her scissors! Ahhh...{#Name=""Decadus""}"
"É mesmo animado agora que temos todos esses amigos, hein?{#Name=""Mikhail""}","Sure is lively now that we have all these friends, huh?{#Name=""Mikhail""}"
"Amigos? Eu não tenho amigos aqui.{#Name=""Zero""}","Friends? I have no friends here.{#Name=""Zero""}"
"Hein? E sobre mim? E Dito?{LF}E Decadus? E Octa?{#Name=""Mikhail""}","Huh? What about me? And Dito?{LF}And Decadus? And Octa?{#Name=""Mikhail""}"
"Um bobo, um psicopata, um desperdício de espaço, e um pervertido.{LF}Sim, somos uma banda alegre, mesmo.{#Name=""Zero""}","A dummy, a psycho, a waste of space, and a pervert.{LF}Yeah, we're a merry band, all right.{#Name=""Zero""}"
"Isso é cruel, Zero!{LF}...Hum, eu não sou o pervertido, eu sou?{#Name=""Mikhail""}","That's mean, Zero!{LF}...Um, I'm not the pervert, am I?{#Name=""Mikhail""}"
"Eu gostaria de pensar em mim mesmo como seu amigo, pelo menos...{#Name=""Mikhail""}","I'd like to think of myself as your friend, at least...{#Name=""Mikhail""}"
"Então, por que você está largando Three?{#Name=""Zero""}","So, why you dropping Three?{#Name=""Zero""}"
"Porque meu apetite por AMOR é insaciável!{LF}Eu preciso de bunda pela manhã, eu preciso do meu prazer da tarde,{LF}eu preciso de amor doce sob as estrelas de—{#Name=""Octa""}","Because my appetite for LOVE is unsated!{LF}I need bootie in the morning, I need my afternoon delight,{LF}I need sweet love under the stars of—{#Name=""Octa""}"
"Tudo bem, tudo bem! Eu entendi.{#Name=""Zero""}","All right, all right! I got it.{#Name=""Zero""}"
"Fazer nada além de saquear a caixa de ração, dia após dia,{LF}me faria o homem mais feliz vivo!{#Name=""Octa""}","To do nothing but plunder the feedbox, day after day,{LF}would make me the happiest man alive!{#Name=""Octa""}"
"E ainda, Lady Three se esquiva a cada oportunidade.{LF}Como posso ficar com alguém como isso?{#Name=""Octa""}","And yet, Lady Three begs off at every opportunity.{LF}How can I stay with someone like that?{#Name=""Octa""}"
"E Lady Three, que não monta mais, e{LF}o que é o significado de continuar juntos?{#Name=""オクタ""}","乗ってくださらなくなったスリイ様と、{LF}これ以上一緒にいる意味がどこに？{#Name=""オクタ""}"
"Oh ho ho! The shrine lies beyond the Forest of Fog.{#Name=""Octa""}","Oh ho ho! The shrine lies beyond the Forest of Fog.{#Name=""Octa""}"
"Probably full of traps and enemies and other annoying{LF}shit like that, huh?{#Name=""Zero""}","Probably full of traps and enemies and other annoying{LF}shit like that, huh?{#Name=""Zero""}"
"Well, it does involve a trial or two, yes.{#Name=""Octa""}","Well, it does involve a trial or two, yes.{#Name=""Octa""}"
"But if you desire carnal action in the great outdoors,{LF}there's simply no better place!{#Name=""Octa""}","But if you desire carnal action in the great outdoors,{LF}there's simply no better place!{#Name=""Octa""}"
"Proceed to the next mission?{#Name="" ""}","Proceed to the next mission?{#Name="" ""}"
"みんなで一つの場所に集まって話すデモ{#Name="" ""}","みんなで一つの場所に集まって話すデモ{#Name="" ""}"
"I would hope that you, Lady Zero, would be intelligent{LF}enough to recognize my value.{#Name=""Octa""}","I would hope that you, Lady Zero, would be intelligent{LF}enough to recognize my value.{#Name=""Octa""}"
