"translation","source"
"-","-"
"2-hit","2-hit"
"3-hit","3-hit"
"4-hit","4-hit"
"5-hit","5-hit"
"6-hit","6-hit"
"7-hit","7-hit"
"8-hit","8-hit"
"Corte Giratório","Spinslash"
"Corte Giratório Grande","Great Spinslash"
"Corte Giratório Máximo","Maximum Spinslash"
"Onda de Sigilo","Sigil Wave"
"Golpe da Terra","Earthstriker"
"Corte Giratório Ascendente","Rising Spinslash"
"Golpe da Terra","Earthstriker"
"Explosão de Sigilo","Sigil Burst"
"Corte Giratório Frontal","Forward Spinslash"
"Golpe de Sigilo","Sigil Strike"
"Ataque Aéreo","Aerial Strike"
"Ataque Aéreo 2-hit","Aerial 2-hit"
"Ataque Aéreo 3-hit","Aerial 3-hit"
"Quebra Crânio","Helmcrusher"
"Assalto Aéreo","Aerial Assault"
"-","-"
"2-hit","2-hit"
"3-hit","3-hit"
"4-hit","4-hit"
"5-hit","5-hit"
"Carga Frontal","Forward Charge"
"-","-"
"Investida Frontal","Forward Blitz"
"Explosão Frontal","Forward Burst"
"Balanço e Impacto","Swing 'n Slam"
"Finalizador com Salto","Vaulting Finisher"
"Redemoinho Aéreo","Aerial Swirl"
"Estocada Deslizante","Gliding Thrust"
"Estocada Descendente","Downward Thrust"
"-","-"
"2-hit","2-hit"
"3-hit","3-hit"
"4-hit","4-hit"
"5-hit","5-hit"
"6-hit","6-hit"
"7-hit","7-hit"
"Tempestade Elegante","Graceful Storm"
"Chute Impulsionado","Charged Bullet Kick"
"Golpe da Terra","Earthstriker"
"Golpe da Terra Infinito","Endless Earthstriker"
"Chute Giratório Aéreo","Aerial Spinkick"
"Chute Giratório Aéreo Duplo","Aerial Double Spinkick"
"Chute Giratório Aéreo Triplo","Aerial Triple Spinkick"
"Esfera de Fúria","Fury Sphere"
"Corte Espiral","Spin Slicer"
"Ataque Aéreo","Aerial Strike"
"Ataque Aéreo 2-hit","Aerial 2-hit"
"Ataque Aéreo 3-hit","Aerial 3-hit"
"Ataque Aéreo 4-hit","Aerial 4-hit"
"Derrubada Final","Smackdown"
"Chute Descendente","Downward Kick"
"Tempestade Aérea","Aerial Storm"
"-","-"
"2-hit","2-hit"
"3-hit","3-hit"
"4-hit","4-hit"
"5-hit","5-hit"
"6-hit","6-hit"
"Arremesso Circular","Ring Toss"
"Atração","Draw In"
"Arremesso Circular Giratório","Spinning Ring Toss"
"Impacto Meteoro","Meteor Crash"
"Golpe Furacão","Whirlwind Strike"
"Golpe de Laço","Lasso Strike"
"Ataque Aéreo","Aerial Strike"
"Redemoinho Aéreo","Aerial Swirl"
"Ciclone Aéreo","Aerial Cyclone"
"Atração Aérea","Aerial Draw-In"
"8-hit","8-hit"
"9-hit","9-hit"
"Golpe infinito","Infinite-hit"
"Tormenta","Thrash"
"Tormenta (+Fúria)","Thrash (+Surge)"
"Golpe de Ciclone","Cyclone Strike"
"Tormenta e Corte","Thrash 'n Slash"
"Tormenta Aérea","Aerial Thrash"
"Impacto Supremo","Grand Slam"
