"translation","source"
"Sim{#Name="" ""}","Yes{#Name="" ""}"
"Não{#Name="" ""}","No{#Name="" ""}"
"Use o {04}{#Name="" ""}","Use the {04}{#Name="" ""}"
"Examinar{#Name="" ""}","Examine{#Name="" ""}"
"Falar{#Name="" ""}","Talk{#Name="" ""}"
"Você não pode usar isso agora. CONFIRMADO NÃO USADO 1126.{#Name="" ""}","You can't use this right now. CONFIRMED NOT USED 1126.{#Name="" ""}"
"Próximo{#Name="" ""}","Next{#Name="" ""}"
"Nova arma obtida!{#Name="" ""}","New weapon obtained!{#Name="" ""}"
"{04}{#Name="" ""}","{04}{#Name="" ""}"
"アクセサリーを入手しました！{#Name="" ""}","アクセサリーを入手しました！{#Name="" ""}"
"Bolsa de itens obtida!{#Name="" ""}","Item bag obtained!{#Name="" ""}"
"Você não pode usar isso mais.{#Name="" ""}","You can't use this anymore.{#Name="" ""}"
"Selec.{#Name="" ""}","Select{#Name="" ""}"
"Aceitar{#Name="" ""}","Confirm{#Name="" ""}"
"Voltar{#Name="" ""}","Back{#Name="" ""}"
"Zero{#Name="" ""}","Zero{#Name="" ""}"
"Mikhail{#Name="" ""}","Mikhail{#Name="" ""}"
"Cent{#Name="" ""}","Cent{#Name="" ""}"
"Decadus{#Name="" ""}","Decadus{#Name="" ""}"
"Dito{#Name="" ""}","Dito{#Name="" ""}"
"Octa{#Name="" ""}","Octa{#Name="" ""}"
"Five{#Name="" ""}","Five{#Name="" ""}"
"Four{#Name="" ""}","Four{#Name="" ""}"
"Three{#Name="" ""}","Three{#Name="" ""}"
"Two{#Name="" ""}","Two{#Name="" ""}"
"One{#Name="" ""}","One{#Name="" ""}"
"Accord{#Name="" ""}","Accord{#Name="" ""}"
"Rolo{#Name="" ""}","Scroll{#Name="" ""}"
"Mudar Página{#Name="" ""}","Change Page{#Name="" ""}"
"Mudar Modo{#Name="" ""}","Change Mode{#Name="" ""}"
"Mudar Categoria{#Name="" ""}","Change Category{#Name="" ""}"
"Mudar Botões{#Name="" ""}","Change Buttons{#Name="" ""}"
"Tocar{#Name="" ""}","Play{#Name="" ""}"
"Fluxo de História{#Name="" ""}","Story Flow{#Name="" ""}"
"Lista de Combos CONFIRMADO NÃO USADO 1126.{#Name="" ""}","Combo List CONFIRMED NOT USED 1126.{#Name="" ""}"
"Você deseja pular o evento de acampamento?{#Name="" ""}","キャンプイベントをスキップしますか？{#Name="" ""}"
"Retornar ao Menu Principal?{#Name="" ""}","Return to the Main Menu?{#Name="" ""}"
"Você não cumpriu as condições de liberação para jogar essa história.{#Name="" ""}","このストーリーをプレイするための解放条件をクリアしていません{#Name="" ""}"
"Para liberar essa história, você precisa coletar 100% das armas.{LF}Atualmente {04}{#Name="" ""}","このストーリーを解放するには、武器の収集率を１００％にする必要があります。{LF}現在{04}{#Name="" ""}"
"Não lido{#Name="" ""}","未読です{#Name="" ""}"
"{04}{#Name="" ""}","{04}{#Name="" ""}"
"A porta está fechada.{#Name=""Zero""}","The door's shut.{#Name=""Zero""}"
