"translation","source"
"Mudar Roupas/Música","Change Outfits/Music"
"Zero","Zero"
"Mikhail","Mikhail"
"Música","Music"
"Mudar a roupa da Zero.","Change Zero's outfit."
"Mudar a aparência de Mikhail.","Change Mikhail's appearance."
"Mudar a música que toca durante a batalha.","Change the music that plays during battle."
"Tocar","Play"
"Comprar Conteúdo","Purchase Content"
"Conectar-se à loja PlayStation® para comprar conteúdo baixável.","Connect to PlayStation®Store to purchase downloadable content."
"Isso encerrará o jogo atual. Você tem certeza?","This will end the current game. Are you sure?"
"Zero","Zero"
"Mikhail","Mikhail"
"Música","Music"
"Você deve encerrar o jogo antes de se conectar à loja PlayStation®.{LF}Você gostaria de salvar seu progresso atual?","You must end your game before connecting to PlayStation®Store.{LF}Would you like to save your current progress?"
"Conectar-se à loja PlayStation® sem salvar?{LF}Todo o progresso não salvo será perdido.","Connect to PlayStation®Store without saving?{LF}All unsaved progress will be lost."
"Parar","Stop"
"Você deve entrar com sua conta da Sony Entertainment Network para acessar essa opção.","You must sign in with your Sony Entertainment Network account to access this option."
"As configurações de controle parental na sua conta da Sony Entertainment Network impedem que você use serviços online.","The parental control settings on your Sony Entertainment Network account prevent you from using online services."
"Voz","Voice"
"Idioma","Language"
"Japonês","Japanese"
"Inglês","English"
"Alternar a língua de voz usada no jogo.","Change the voices used in the main game."
"Mudando vozes...","Changing voices..."
