"translation","source"
"Mikhail como ele geralmente aparece.{#Name=""Plain Old Mikhail""}","Mikhail as he usually appears.{#Name=""Plain Old Mikhail""}"
"-{#Name=""Model 2""}","-{#Name=""モデル２""}"
"-{#Name=""Model 3""}","-{#Name=""モデル３""}"
"-{#Name=""Model 4""}","-{#Name=""モデル４""}"
"A explicação do modelo entra aqui.{#Name=""Model 5""}","モデルの説明が入ります{#Name=""モデル５""}"
"A explicação do modelo entra aqui.{#Name=""Model 6""}","モデルの説明が入ります{#Name=""モデル６""}"
"A explicação do modelo entra aqui.{#Name=""Model 7""}","モデルの説明が入ります{#Name=""モデル７""}"
"A explicação do modelo entra aqui.{#Name=""Model 8""}","モデルの説明が入ります{#Name=""モデル８""}"
"A explicação do modelo entra aqui.{#Name=""Model 9""}","モデルの説明が入ります{#Name=""モデル９""}"
"A explicação do modelo entra aqui.{#Name=""Model 10""}","モデルの説明が入ります{#Name=""モデル１０""}"
"A explicação do modelo entra aqui.{#Name=""Model 11""}","モデルの説明が入ります{#Name=""モデル１１""}"
"A explicação do modelo entra aqui.{#Name=""Model 12""}","モデルの説明が入ります{#Name=""モデル１２""}"
"A explicação do modelo entra aqui.{#Name=""Model 13""}","モデルの説明が入ります{#Name=""モデル１３""}"
"A explicação do modelo entra aqui.{#Name=""Model 14""}","モデルの説明が入ります{#Name=""モデル１４""}"
"A explicação do modelo entra aqui.{#Name=""Model 15""}","モデルの説明が入ります{#Name=""モデル１５""}"
