"translation","source"
"É Zero! Ela está aqui!","It's Zero! She's here!{#Name=""Soldier B""}"
"Merda! Todo mundo corre!","Shit! Everybody run!{#Name=""Soldier C""}"
"Não recue, idiota! Lute contra ela! Lute agora!","Don't retreat, fool! Fight her! Fight her now!{#Name=""Soldier B""}"
"Avançar! Avançar!","Advance! Advaaance!{#Name=""Soldier A""}"
"Droga! Não podemos segurá-la!","Dammit! We can't hold her!{#Name=""Soldier B""}"
"Uma Intoner que pode convocar dragões!?","An Intoner that can summon dragons!?{#Name=""Soldier C""}"
"Essa flor está me assustando, cara!","That flower is freaking me out, man!{#Name=""Soldier D""}"
"Ela é muito rápida para nós!","She's too fast for us!{#Name=""Soldier E""}"
"Estamos sendo punidos! Isso é punição divina!","We're being punished! This is divine punishment!{#Name=""Soldier F""}"
"Droga! Ela está nos cortando como moscas!","Damn! She's mowing us down like flies!{#Name=""Soldier G""}"
"É Zero! A Intoner! ...E seu DRAGÃO!","It's Zero! The Intoner! ...And her DRAGON!{#Name=""Soldier A""}"
"É Zero!?","THAT'S Zero!?{#Name=""Soldier D""}"
"Mantenha os olhos à frente!","Keep your eyes forward!{#Name=""Soldier E""}"
"Isso...isso é só...","That...that's just...{#Name=""Soldier G""}"
"Devemos dar nossas vidas para parar a maldita Intoner!","We must lay down our lives to stop the accursed Intoner!{#Name=""Soldier F""}"
"Simmm!","Yeahhh!{#Name=""Soldier B""}"
"Ah, a dor! A doooor!","Ah, the pain! The paaain!{#Name=""Soldier C""}"
"Alguém, qualquer um me ajude!","Someone, anyone help me!{#Name=""Soldier D""}"
"Dê-me uma mão! Ele não vai fazer isso!","Give me a hand! He's not gonna make it!{#Name=""Soldier E""}"
"É a mesma coisa aqui!","It's no different over here!{#Name=""Soldier D""}"
"Médicos! Onde diabos estão os médicos!?","Medics! Where the hell are the medics!?{#Name=""Soldier G""}"
"Ajude-me! Por favor, ajude-me!","Help me! Please, help meeee!{#Name=""Soldier G""}"
"Pare de reclamar!","Quit your whining!{#Name=""Soldier A""}"
"Não contenha nada! Ataque! Vá, vá, vá!","Hold nothing back! Charge! Go, go, go!{#Name=""Soldier B""}"
"Você não será perdoado, traidor Intoner!","You won't be forgiven, traitorous Intoner!{#Name=""Soldier F""}"
"O olho da Zero sempre foi assim!?","Was Zero's eye always like that!?{#Name=""Soldier C""}"
"Não seja descuidado ou você perderá a cabeça!","Don't get careless or you'll lose your head!{#Name=""Soldier D""}"
"20 de abril de 1000 d.C.","April the 20th, 1000 A.D.{#Name=""Accord""}"
"A Terra dos Mares.","The Land of Seas.{#Name=""Accord""}"
"Vamos, você grande filho da puta!","Come on, you big son of a bitch!{#Name=""Zero""}"
"Você acha que pode lutar contra mim? É cedo demais!","私と戦うなんて百年早いんでないぃいッ？{#Name=""セント""}"
"Depois de suar um pouco aqui, vou... hehehe...","ここで一汗流した後はゼロ様と……ふほほほっ{#Name=""オクタ""}"
"Não se aproxime! Morra! Morra! Eu odeio você, feio!","寄るなよ！　死ねッ！　死ねッ！{LF}醜いヤツは大嫌いだッ！{#Name=""ディト""}"
"Essa... dor também... é o meu desejo...","この……苦しみも……痛みも……私の望みッ{#Name=""デカート""}"
"Ah, o mar é certamente lindo, não é?","Ah, the sea is certainly lovely, isn't it?{#Name=""Octa""}"
"Sim!","Indeed!{#Name=""Decadus""}"
"Sério? Vocês estão loucos.","Seriously? You guys are crazy.{#Name=""Dito""}"
"É apenas um grande bloco azul.{LF}E cheira a merda de peixe.","It's just a big blue blob.{LF}And it smells like fish shit.{#Name=""Dito""}"
"Sério? Vocês estão loucos.","Seriously? You guys are crazy.{#Name=""Dito""}"
"É apenas um grande bloco azul.{LF}E cheira a merda de peixe.","It's just a big blue blob.{LF}And it smells like fish shit.{#Name=""Dito""}"
"Vou atacar os navios!","I'll go attack the ships!{#Name=""Mikhail""}"
"Ei, se concentre!{LF}Estamos sob fogo aqui!{#Name=""Zero""}","Hey, get your shit together!{LF}We're taking fire here!{#Name=""Zero""}"
"Estou tentando, estou tentando!{LF}Estou tentando muito, muito duro!{#Name=""Mikhail""}","I'm trying, I'm trying!{LF}I'm trying really, really hard!{#Name=""Mikhail""}"
"145{#Name=""ゼロ""}","145{#Name=""ゼロ""}"
"Hum, Zero?{#Name=""Mikhail""}","Um, Zero?{#Name=""Mikhail""}"
"O que agora?{#Name=""Zero""}","What now?{#Name=""Zero""}"
"Posso ir encontrar um arbusto? Preciso urinar.{#Name=""Mikhail""}","Can I go find a bush? I need to pee.{#Name=""Mikhail""}"
"Só segure, idiota! Ou então urine de lá em cima.{#Name=""Zero""}","Just hold it, dummy! Or else piss from up there.{#Name=""Zero""}"
"O quê!? Não posso fazer isso!{LF}Isso é o que os animais fazem e coisa e tal!{#Name=""Mikhail""}","What!? I can't do that!{LF}That's what animals do and stuff!{#Name=""Mikhail""}"
"Uhu! Eu afundei aquele navio!{#Name=""Mikhail""}","Woo-hoo! I sunk that ship!{#Name=""Mikhail""}"
"Ótimo.{#Name=""Zero""}","Great.{#Name=""Zero""}"
"Ei, eu fiz tudo sozinho! C'mon, Zero,{LF}você pode me elogiar um pouco!{#Name=""Mikhail""}","Hey, I did it all by myself! C'mon, Zero,{LF}you can praise me a little!{#Name=""Mikhail""}"
"Talvez na próxima vez...SE você não se mijar.{#Name=""Zero""}","Maybe next time...IF you don't piss yourself.{#Name=""Zero""}"
"Uhu!{#Name=""Mikhail""}","Yay!{#Name=""Mikhail""}"
"Uma emboscada, é?{#Name=""Zero""}","An ambush, huh?{#Name=""Zero""}"
"Oh ho! Este é um retorno ao lar muito infeliz mesmo!{#Name=""Octa""}","Oh ho! This is a wretched homecoming indeed!{#Name=""Octa""}"
"Você sabe que estamos passando por tudo{LF}isso por você, Zero, certo?{#Name=""Dito""}","You know we're going through all{LF}this crap for you, Zero, right?{#Name=""Dito""}"
"...Certo!?{#Name=""Dito""}","...Riiight!?{#Name=""Dito""}"
"O que você está falando?{#Name=""Zero""}","What are you going on about?{#Name=""Zero""}"
"Bondade, Lady Zero! Você certamente{LF}pode ser densa às vezes!{#Name=""Cent""}","Goodness, Lady Zero! You certainly{LF}can be dense sometimes!{#Name=""Cent""}"
"Isso mal combina com sua grande{LF}posição como uma Intoner.{#Name=""Cent""}","It's hardly befitting your grand{LF}status as an Intoner.{#Name=""Cent""}"
"Olhe, tudo que estou dizendo é que um pequeno{LF}obrigado poderia ser agradável.{#Name=""Dito""}","Look, all I'm saying is, a little thank-you{LF}might be nice.{#Name=""Dito""}"
"Não que pediríamos dinheiro ou algo{LF}tão grosseiro de uma Intoner!{#Name=""Cent""}","Not that we'd ask for money or anything{LF}so crass from an Intoner!{#Name=""Cent""}"
"Vamos ver... Eu sei! Como um{LF}delicioso jantar caseiro?{#Name=""Cent""}","Let's see... I know! How about{LF}a nice, home-cooked meal?{#Name=""Cent""}"
"Ah, como é lindo!{#Name=""Octa""}","Ah, how lovely!{#Name=""Octa""}"
"Ótimo. Então está decidido.{#Name=""Dito""}","Great. It's settled, then.{#Name=""Dito""}"
"A comida caseira da Zero... Que honra!{#Name=""Decadus""}","Zero's home-cooked food... What an honor!{#Name=""Decadus""}"
"Eu não concordei com isso.{#Name=""Zero""}","I didn't agree to that.{#Name=""Zero""}"
"O que você vai fazer, Z? Eu poderia ir para{LF}um estufado. Ou qualquer coisa cozida, realmente.{#Name=""Dito""}","Whatcha gonna make, Z? I could go for stew.{LF}Or anything boiled, really.{#Name=""Dito""}"
"Eu prefiro pratos orgânicos com ingredientes{LF}locais.{#Name=""Cent""}","I prefer organic dishes with locally{LF}sourced ingredients.{#Name=""Cent""}"
"Eu sou muito afeiçoado a doces.{#Name=""Decadus""}","I'm rather fond of sweets.{#Name=""Decadus""}"
"Eu vou levar qualquer coisa que funcione como{LF}um afrodisíaco!{#Name=""Octa""}","I'll take anything that doubles as an aphrodisiac!{#Name=""Octa""}"
"Isso parece ser a última coisa de que VOCÊ precisa.{#Name=""Zero""}","That sounds like the last thing YOU need.{#Name=""Zero""}"
