"translation","source","can_modify"
"Soldado B","Soldier B","1"
"Soldado C","Soldier C","1"
"Soldado A","Soldier A","1"
"Soldado D","Soldier D","1"
"Soldado E","Soldier E","1"
"Soldado F","Soldier F","1"
"Soldado G","Soldier G","1"
"Acordo","Accord","1"
"Zero","Zero","1"
"Centavo","セント","1"
"Oitava","オクタ","1"
"Ditado","ディト","1"
"Decálogo","デカート","1"
"Oitava","Octa","1"
"Decadente","Decadus","1"
"Ditado","Dito","1"
"Mikhail","Mikhail","1"
"Zero","ゼロ","1"
"Centavo","Cent","1"
"Ditado/Centavo/Oitava/Decadente","Dito/Cent/Octa/Decadus","1"
"Texto de explicação","説明文","1"
"Acorde","アコール","1"
" "," ","1"
