"translation","source"
"Mikhail","ミハイル"
"Zero","ゼロ"
"Soldado Inimigo A","敵兵Ａ"
"Soldado Inimigo B","敵兵Ｂ"
"Zero","Zero"
"Mikhail","Mikhail"
"Dito","Dito"
"Explanation","説明文"
"Soldado C","Soldier C"
"Soldado D","Soldier D"
"Soldado A","Soldier A"
"Soldado F","Soldier F"
"Soldado B","兵士B"
"Soldado G","Soldier G"
"Soldado E","Soldier E"
"Soldado C","兵士C"
"Soldado D","兵士D"
"Soldado B","Soldier B"
"Soldado E","兵士E"
"Soldado A","兵士A"
"Dito","ディト"
"Soldado G","兵士G"
"Soldado F","兵士F"
"Dito e Mikhail","ディト・ミハイル"
"Accord","Accord"
