"translation","source","can_modify"
"Isso é tudo{#Name=""ゼロ""}","ここまでだ{#Name=""ゼロ""}","1"
"O que agora？{#Name=""オクタ""}","今、なんと？{#Name=""オクタ""}","1"
"Você está bem até aqui{#Name=""ゼロ""}","お前達はここまででいい{#Name=""ゼロ""}","1"
"A partir daqui, vou seguir sozinho{#Name=""ゼロ""}","ここから先は私だけで行く{#Name=""ゼロ""}","1"
"Tão... vocês se importam conosco？{#Name=""デカート""}","そんな……我々の事をお気遣いでしたら{#Name=""デカート""}","1"
"É diferente{#Name=""ゼロ""}","違う{#Name=""ゼロ""}","1"
"Você, apóstolo, não pode manter a forma humana sem o poder de Utawatai{#Name=""ゼロ""}","お前達使徒は、ウタウタイの力が無ければ人の形を維持出来ない{#Name=""ゼロ""}","1"
"Mais cedo ou mais tarde, vou desaparecer{#Name=""ゼロ""}","いずれ、消えてしまうんだ{#Name=""ゼロ""}","1"
"Então, antes disso{#Name=""ゼロ""}","だからその前に{#Name=""ゼロ""}","1"
"Volte para sua forma original{#Name=""ゼロ""}","元の姿に戻れ{#Name=""ゼロ""}","1"
"Tchau{#Name=""ゼロ""}","さよなら{#Name=""ゼロ""}","1"
"Foi divertido......{#Name=""ゼロ""}","楽しかったよ……{#Name=""ゼロ""}","1"
"Rumo à Catedral.{#Name=""説明文""}","Head for the Cathedral.{#Name=""説明文""}","1"
"Derrote os Diabos!{#Name=""説明文""}","Defeat the Imps!{#Name=""説明文""}","1"
"Derrote o Cérbero Cinzento!{#Name=""説明文""}","Defeat the Gray Cerberus!{#Name=""説明文""}","1"
"Eu desisto... Ela é muito forte para nós... Nunca vamos vencê-la...{#Name=""Soldado G""}","I give up... She's too strong for us... We'll never beat her...{#Name=""Soldier G""}","1"
"Não ouse desistir de nós!{#Name=""Soldado B""}","Don't you dare wimp out on us!{#Name=""Soldier B""}","1"
"É hora de um ataque em larga escala!{#Name=""Soldado A""}","It's time for a full-scale attack!{#Name=""Soldier A""}","1"
"Finalmente, chegou a isso...{#Name=""Soldado E""}","It's finally come to this...{#Name=""Soldier E""}","1"
"Como ela pode ter avançado tanto?{#Name=""Soldado C""}","How could she have advanced this far?{#Name=""Soldier C""}","1"
"Ela é uma Intonadora! As Intonadoras são o verdadeiro negócio, cara!{#Name=""Soldado D""}","She's an Intoner! Intoners are the real deal, man!{#Name=""Soldier D""}","1"
"Retirada não é uma opção! Por que diabos você acha que estamos aqui!?{#Name=""Soldado F""}","Retreat is not an option! Why the hell do you think we're here!?{#Name=""Soldier F""}","1"
"Ele está certo! Nós lutamos até o fim! Pela nossa Senhora One!{#Name=""Soldado G""}","He's right! We fight to the end! For Lady One's sake!{#Name=""Soldier G""}","1"
"Devemos nos tornar um escudo para nossa Senhora!{#Name=""Soldado A""}","We must become as a shield for our Lady!{#Name=""Soldier A""}","1"
"É a única maneira de retribuir nossa salvadora!{#Name=""Soldado A""}","It's the only way to repay our savior!{#Name=""Soldier A""}","1"
"Isso é, uma forma de retribuir ao nosso salvador, o senhor...{#Name=""Soldier A""}","それが、我々を救ってくださったワン様への…恩返しだ{#Name=""兵士Ａ""}","1"
"Zero! Você é um demônio abominável!{#Name=""Soldier B""}","Zero! You abominable demon!{#Name=""Soldier B""}","1"
"Exatamente, uma desgraça detestável!{#Name=""Soldier B""}","まさに、忌まわしき災い！{#Name=""兵士Ｂ""}","1"
"Anime-se, pessoal!{#Name=""Soldier C""}","Chin up, people!{#Name=""Soldier C""}","1"
"Anime-se? Nós vamos MORRER!{#Name=""Soldier D""}","Chin up? We're gonna DIE!{#Name=""Soldier D""}","1"
"Então, enfrente sua morte com um coração forte!{#Name=""Soldier C""}","Then face your death with a stout heart!{#Name=""Soldier C""}","1"
"Fique para trás. Serei seu escudo!{#Name=""Soldier F""}","Stay back. I'll be your shield!{#Name=""Soldier F""}","1"
"Você tem certeza?{#Name=""Soldier G""}","A-Are you sure?{#Name=""Soldier G""}","1"
"Soldados veteranos devem ser faróis de esperança para os jovens. Agora, fique atrás de mim!{#Name=""Soldier F""}","Veteran soldiers should be beacons of hope for the young. Now get behind me!{#Name=""Soldier F""}","1"
"E por favor...salve a Lady One para mim. Para todos nós.{#Name=""Soldier F""}","And please...save Lady One for me. For us all.{#Name=""Soldier F""}","1"
"É isso, homens! Dê tudo de si!{#Name=""Soldier A""}","This is it, men! Give it your all!{#Name=""Soldier A""}","1"
"Capitão! Nossos números são—{#Name=""Soldier C""}","Captain! Our numbers are—{#Name=""Soldier C""}","1"
"Nossos números estão bem! Agora, lute!{#Name=""Soldier A""}","Our numbers are just fine! Now fiiight!{#Name=""Soldier A""}","1"
"Entendi!{#Name=""Soldier C""}","了解！{#Name=""兵士Ｃ""}","1"
"Eles estão todos loucos!{#Name=""Soldier G""}","ヤツら全員狂ってます！{#Name=""兵士Ｇ""}","1"
"O campo de batalha é um lugar onde você enfrenta essas pessoas!{#Name=""Soldier E""}","戦場とは、そういうヤツらと向き合う場所さ{#Name=""兵士Ｅ""}","1"
"Não... Nãoooooo!{#Name=""Soldier G""}","No... Noooooo!{#Name=""Soldier G""}","1"
"Continue em frente!{#Name=""Soldier E""}","Keep moving!{#Name=""Soldier E""}","1"
"Suporte de retaguarda!{#Name=""Soldier B""}","Rear support!{#Name=""Soldier B""}","1"
"Entendi! Estou solicitando apoio agora!{#Name=""Soldier D""}","Got it! Requesting backup now!{#Name=""Soldier D""}","1"
"D-Droga! Não recue! Não recue...{#Name=""Soldier A""}","D-Damn! Don't fall back! Don't fall...back...{#Name=""Soldier A""}","1"
"Capitão!{#Name=""Soldier E""}","Captain!{#Name=""Soldier E""}","1"
"Continue em frente!{#Name=""Soldier F""}","Keep moving!{#Name=""Soldier F""}","1"
"Senhor! Não temos mais lugar para ir!","Sir! We have nowhere left to go!{#Name=""Soldier G""}","1"
"Estamos mesmo machucando eles!?","Are we even hurting them!?{#Name=""Soldier C""}","1"
"Devemos ter feito algum dano até agora!...Certo!?","We must have done SOME damage by now!{LF}...Right!?{#Name=""Soldier D""}","1"
"Devíamos ter sabido que humanos comuns{LF}não poderiam combater um Intonador...","We should have known mere humans{LF}couldn't combat an Intoner...{#Name=""Soldier C""}","1"
"Bem, fizemos nossa cama agora, então continue lutando!","Well, we've made our bed now, so keep fighting!{#Name=""Soldier D""}","1"
"Vamos, mova! Deus danado, você pernas estúpidas, MOVAM!","Come on, move! Goddammit, you stupid legs, MOVE!{#Name=""Soldier B""}","1"
"Isso é tão chato! Não podemos apenas matar todos{LF}e sair daqui já?","This is such a drag! Can we just kill everyone{LF}and get the hell outta here already?{#Name=""Dito""}","1"
"Estou certo que você pode dizer pela minha cara,{LF}mas eu sou o que você chamaria...delicado.","I'm sure you can tell by my face,{LF}but I'm what you might call...delicate.{#Name=""Cent""}","1"
"Bem, foi uma longa batalha.{LF}Você está começando a desacelerar?","Well, it has been a long battle.{LF}Are you starting to slow down?{#Name=""Octa""}","1"
"Céus não! Não confunda essa facilidade{LF}relaxada minha com preguiça, hmm?","Heavens no! Don't mistake this laid-back{LF}ease of mine for laziness, mmm?{#Name=""Cent""}","1"
" "," {#Name=""セント""}","1"
"Devemos manter a Senhora Zero segura!","We must keep Lady Zero safe!{#Name=""Decadus""}","1"
"Estou bem certo de que ""Senhora Zero"" pode{LF}cuidar de si mesma muito bem.","I'm pretty sure ""Lady Zero"" can{LF}watch her own ass just fine.{#Name=""Dito""}","1"
"Diabos, se algo, ela deveria estar nos protegendo!","Hell, if anything, she should be protecting US!{#Name=""Dito""}","1"
"De qualquer maneira,{LF}queremos que Zero nos proteja também.","どっちかっつーと、{LF}こっちがゼロに守ってもらいたいくらいだ{#Name=""ディト""}","1"
"Não diga essas coisas!{LF}Devemos dar tudo para nosso Intonador!{#Name=""Decadus""}","Don't say such things!{LF}We must give all for our Intoner!{#Name=""Decadus""}","1"
"Detecto o hálito podre de{LF}soldados tremendo de medo.{#Name=""Decadus""}","I detect the putrid breath of{LF}soldiers quaking in fear.{#Name=""Decadus""}","1"
"Hora de curiosidade! Você sabia que dezesseis por cento do{LF}hálito humano consiste em substâncias químicas nocivas?{#Name=""Cent""}","Trivia time! Did you know sixteen percent of{LF}human breath consists of harmful chemicals?{#Name=""Cent""}","1"
"Eu... Não, nunca ouvi isso.{#Name=""Decadus""}","I... No, I've never heard that.{#Name=""Decadus""}","1"
"Eu também não. É a primeira vez que ouço isso.{#Name=""Cent""}","I wouldn't think so. This is my{LF}first time hearing it too.{#Name=""Cent""}","1"
"Como é que eu acabo lutando novamente{LF}nessas batalhas estúpidas?{#Name=""Dito""}","How is it that I keep ending up fighting{LF}these stupid battles again?{#Name=""Dito""}","1"
"Oh ho ho! É tudo por Lady Zero, é claro.{#Name=""Octa""}","Oh ho ho! It's all for Lady Zero, of course.{#Name=""Octa""}","1"
"A verdade simples é que estamos todos completamente{LF}impotentes contra seus encantos...{#Name=""Octa""}","The simple truth is, we're all completely{LF}helpless against her charms...{#Name=""Octa""}","1"
"Você tem que estar brincando...{#Name=""Dito""}","You gotta be kiddin' me...{#Name=""Dito""}","1"
"*Huff, huff...*{#Name=""Zero""}","*Huff, huff...*{#Name=""Zero""}","1"
"Zero, você está bem? A força da{LF}flor está ficando mais forte!{#Name=""Mikhail""}","Zero, are you okay? The flower's{LF}force is getting stronger!{#Name=""Mikhail""}","1"
"Continue...{#Name=""Zero""}","Keep...going...{#Name=""Zero""}","1"
"Mas...{#Name=""Mikhail""}","But...{#Name=""Mikhail""}","1"
"Cale a boca e continue, não importa o que!{LF}Você me ouve!?{#Name=""Zero""}","Shut up and keep going no matter what!{LF}You hear me!?{#Name=""Zero""}","1"
"Você é um cachorro podre... Vou matá-lo!{LF}E então vou matá-lo novamente!{#Name=""Dito""}","You rotten dog... I'll kill ya!{LF}And then I'll kill ya again!{#Name=""Dito""}","1"
"Apesar de todo o seu bluster anti-social,{LF}Dito, vejo que você ainda está lutando com força.{#Name=""Decadus""}","Despite all your anti-social bluster,{LF}Dito, I see you're still fighting hard.{#Name=""Decadus""}","1"
"Eh, eu acho que posso ajudar Z{LF}ao mesmo que eu esteja aqui.{#Name=""Dito""}","Eh, I figure I might as well help Z{LF}out as long as I'm here.{#Name=""Dito""}","1"
"Você vê, Dito? O poder da amizade genuína{LF}conquista tudo!{#Name=""Decadus""}","You see, Dito? The power of genuine{LF}friendship conquers all!{#Name=""Decadus""}","1"
"Sim, sim. Não se preocupe com isso. Você está me assustando.{#Name=""Dito""}","Yeah, yeah. Don't get your panties in a{LF}bunch about it. You're creepin' me out.{#Name=""Dito""}","1"
"Bondade. O que vamos fazer agora?{#Name=""Cent""}","Goodness. Whatever are we to do now?{#Name=""Cent""}","1"
"Eu seguirei a Lady Zero até os confins da terra.{#Name=""Octa""}","I shall follow Lady Zero to the ends of the earth.{#Name=""Octa""}","1"
"E se você morrer?{#Name=""Cent""}","What if you die?{#Name=""Cent""}","1"
"Então eu ascenderei ao céu{LF}sem remorsos! Oh ho ho!{#Name=""Octa""}","Then I shall ascend to heaven{LF}without regrets! Oh ho ho!{#Name=""Octa""}","1"
"Você pode rir disso, mas eu sonho{LF}de um dia viver em paz.{#Name=""Decadus""}","You may laugh at this, but I dream{LF}of one day living in peace.{#Name=""Decadus""}","1"
