"translation","source"
"Ligado","On"
"Desligado","Off"
"Máximo","Max"
"Mínimo","Min"
"Configurações do Controle","Controller Settings"
"Configurações Visuais","Visual Settings"
"Configurações de Áudio","Audio Settings"
"Operação da Câmera","カメラ操作"
"Exibição da Tela","画面表示"
"Restaurar Padrões","Restore Defaults"
"Ajustar configurações relacionadas ao controle.","Adjust settings related to the controller."
"Ajustar configurações relacionadas à tela do jogo.","Adjust settings related to the game screen."
"Ajustar configurações relacionadas ao volume de áudio.","Adjust settings related to audio volume."
"Configurações de operação da câmera","カメラの操作方式について設定します"
"Configurações de exibição da tela","画面の表示物について設定します"
"Restaurar todas as configurações para a configuração padrão.","Restore all settings to the default configuration."
"Ataque Normal","通常攻撃"
"Ataque Especial","固有攻撃"
"Pulo","ジャンプ"
"Passo de Evasão","回避ステップ"
"Travar","ロックオン"
"Troca de Arma","武器チェンジ"
"Magia","魔法"
"Troca de Luva","籠手チェンジ"
"Modo de Travar","ロックオン方式"
"Tipo de Troca","切り替えタイプ"
"Tipo de Segurar","ホールドタイプ"
"Controles de Batalha Aérea","Air Battle Controls"
"Normal","Normal"
"Invertido","Inverted"
"Brilho","Brightness"
"Volume de Música","Music Volume"
"Volume de Efeitos Sonoros","SFX Volume"
"Volume de Voz","Voice Volume"
"Qualidade de Áudio","音質"
"Estéreo","ステレオ"
"5.1ch Surround","5.1ch サラウンド"
"Controle de Câmera (Esq./Dir.)","Camera Control (Left/Right)"
"Sens. de Câmera (Esq./Dir.)","Camera Sensitivity (Left/Right)"
"Controle de Câmera (Cima/Baixo)","Camera Control (Up/Down)"
"Sens. de Câmera (Cima/Baixo)","Camera Sensitivity (Up/Down)"
"Distância da Câmera","カメラ距離"
"Perto","近"
"Normal","Normal"
"Longe","遠"
"Delay da Câmera","カメラディレイ"
"Câmera de Acompanhamento","Chase Cam"
"Controles de Batalha Aérea","Air Battle Controls"
"Modo de Travar","ロックオン方式"
"Normal","Normal"
"Invertido","Inverted"
"Respingos de Sangue","Blood Splatter"
"Legendas","字幕"
"Exibição de Vida do Inimigo","敵体力表示"
"Exibição de Corrente","チェイン表示"
"Sair da tela de configurações.","Leave the settings screen."
"Sair sem confirmar alterações?","Leave without confirming changes?"
"Aplicar Alterações","Apply Changes"
"Tipo de Operação","操作タイプ"
"Vibração","Vibration"
"Configurações","Settings"
"{04}","{04}"
"Troca","切り替え"
"Defesa","ガード"
"Passo","ステップ"
"Alternar vibração do controle.","Toggle controller vibration on and off."
"Escolha entre controles normais e invertidos","Choose between normal and inverted controls during air battle stages."
"Escolha entre controles normais e invertidos da câmera horizontal.","Choose between normal and inverted horizontal camera control."
"Ajuste a sensibilidade de movimento horizontal da câmera.","Adjust the camera's horizontal movement sensitivity."
"Escolha entre controles normais e invertidos da câmera vertical.","Choose between normal and inverted vertical camera control."
"Ajuste a sensibilidade do movimento vertical da câmera.","Adjust the camera's vertical movement sensitivity."
"Ajuste se a câmera segue Zero ou fica estática.","Adjust whether the camera auto-follows behind Zero or remains static."
"Ajuste o nível de brilho da tela.","Adjust the brightness level of the screen."
"Ajuste o valor de gama da tela.","Adjust the gamma value of the screen."
"Ajuste o volume da música de fundo.","Adjust the volume of background music."
"Ajuste o volume dos efeitos sonoros.","Adjust the volume of sound effects."
"Ajuste o volume das vozes dos personagens.","Adjust the volume of character voices."
"Escolha se terá respingos de sangue na tela durante o combate.","Choose whether to have blood splattering on the screen during combat."
"Gama","Gamma"
"Restaurar todas as configurações para a configuração padrão?","Restore all settings to the default configuration?"
