"translation","source"
"Próximo","Next"
"Selec.","Select"
"Experiência Ganha:","Experience Earned:"
"Sequência Mais Longa:","Longest Chain:"
"Dano Recebido:","Damage Taken:"
"Bônus Sem-Continuar:","No-continue Bonus:"
"Experiência Total Ganha:","Total Experience Earned:"
"acertos","hits"
"exp","exp"
"Nv.","Lv."
"Próximo Nível:","Next Level:"
"Vida","Health"
"Estamina","Stamina"
"Ataque","Attack"
"Lealdade","Loyalty"
"Rank","Rank"
"Próximo Rank","Next Rank"
"Apenas o pensamento dela usando minha arma...{LF}Que... humilhação maravilhosa...","The mere thought of her using my weapon...{LF}Such...wondrous humiliation..."
"{04}","{04}"
"Sua confiança com {04}","Your trust with {04}"
"Ouro Total:","Total Gold:"
"Ouro Ganho:","Gold Earned:"
"Ouro","Gold"
"Baú do Tesouro","Treasure Chest"
"Nova arma obtida!","New weapon obtained!"
"{04}","{04}"
"{04}","{04}"
"Aqui vai, ""Lady Zero."" Talvez isso ajude.","Here you go, ""Lady Zero."" Maybe this'll help."
"Mikhail evoluiu para sua segunda forma!","Mikhail evolved into his second form!"
"Mikhail evoluiu para sua forma final!","Mikhail evolved into his final form!"
"Mikhail desevoluiu!","Mikhail devolved!"
"Pedido #{04}","Request #{04}"
"Tempo de Conclusão:","Completion Time:"
"Inimigos Derrotados:","Enemies Defeated:"
"Objetos Destruídos:","Objects Destroyed:"
"Esferas Obtidas:","Spheres Obtained:"
"Experiência Ganha:","Experience Earned:"
"Ouro Ganho:","Gold Earned:"
"{04}","{04}"
"×","×"
"＝","＝"
"Materiais Básicos","Base Materials"
"Sair da tela de resultados?","Exit the results screen?"
"Minério de Ferro","Iron Ore"
"Minério de Ferro de Baixa Qualidade","Low-Quality Iron Ore"
"Minério de Ferro de Alta Qualidade","High-Quality Iron Ore"
"{04}","{04}"
"Inimigos Derrotados:","Enemies Defeated:"
"Objetos Destruídos:","Objects Destroyed:"
"Esferas Obtidas:","Spheres Obtained:"
"Tempo de Conclusão:","Completion Time:"
"{04}","{04}"
"Dano: ","Damage: "
"xyz","xyz"
"yza","yza"
"zab","zab"
"? ? ?","? ? ?"
"{04}","{04}"
"Rota A completa.","Branch A complete."
"Rota B completa.","Branch B complete."
"Rota C completa.","Branch C complete."
"Todas as versos perdidos completos.","All lost verses complete."
"Pedido desbloqueado na Terra dos Mares.{LF}Acesse-o no menu de seleção de capítulo.","Request unlocked in the Land of Seas.{LF}Access it from the Chapter Select menu."
"Pedido desbloqueado na Terra das Montanhas.{LF}Acesse-o no menu de seleção de capítulo.","Request unlocked in the Land of Mountains.{LF}Access it from the Chapter Select menu."
"Pedido desbloqueado na Terra das Florestas.{LF}Acesse-o no menu de seleção de capítulo.","Request unlocked in the Land of Forests.{LF}Access it from the Chapter Select menu."
"Pedido desbloqueado na Terra das Areias.{LF}Acesse-o no menu de seleção de capítulo.","Request unlocked in the Land of Sands.{LF}Access it from the Chapter Select menu."
"Pedido desbloqueado na Cidade da Catedral.{LF}Acesse-o no menu de seleção de capítulo.","Request unlocked in the Cathedral City.{LF}Access it from the Chapter Select menu."
"A Lâmina da Zero agora está no Nv. {04}","Zero's Blade is now Lv. {04}"
"Obrigado por me deixar se juntar a você, minha senhora.{LF}Por favor, mantenha isso como um símbolo de minha lealdade.","Thank you for letting me join you, my lady.{LF}Please, keep this as a symbol of my loyalty."
"Não quero nada mais do que servir minha Intoner...{LF}E talvez parecer bem enquanto faço isso.","I want nothing more than to serve my Intoner...{LF}And perhaps look good while doing it."
"Dirigível adquirido!","Airship acquired!"
"A Lâmina da Zero agora está no Nv. 2!","Zero's Blade is now Lv. 2!"
"A Lâmina da Zero agora está no Nv. 3!","Zero's Blade is now Lv. 3!"
"A Lâmina da Zero agora está no Nv. 4!","Zero's Blade is now Lv. 4!"
"Você tem se saído bem ultimamente.{LF}Talvez possa lidar com isso agora.","You've been cleanin' up lately.{LF}Maybe you can handle this now."
"Permita-me retribuir por sua...bondade, minha senhora.{LF}Espero sofrer mais...muito mais...disso em breve.","Permit me to repay you for your...kindness, my lady.{LF}I hope to suffer more...much more...of it soon."
"Um símbolo de lealdade de mim para você, minha senhora. {LF}Que nosso prazer mútuo dure por todo o tempo...e mais um pouco.","A symbol of loyalty from me to you, my lady. {LF}May our mutual enjoyment endure for all time...and then some."
"É, talvez sinta-se livre para me agradecer agora?{LF}Quero dizer, eu tenho sido muito útil.","Yeah, maybe feel free to thank me now?{LF}I mean, I have been rather helpful."
"A Accord postou uma nova solicitação:","Accord has posted a new request:"
"Acesse pelo menu Selecção de Capítulo!","Access it from the Chapter Select menu!"
"Três solicitações de Terra dos Mares concluídas!{LF}Solicitação bônus ""{04}","Three Land of Seas requests completed!{LF}Bonus request ""{04}"
"Três solicitações de Terra das Montanhas concluídas!{LF}Solicitação bônus ""{04}","Three Land of Mountains requests completed!{LF}Bonus request ""{04}"
"Três solicitações de Terra das Florestas concluídas!{LF}Solicitação bônus ""{04}","Three Land of Forests requests completed!{LF}Bonus request ""{04}"
"Três solicitações de Terra das Areias concluídas!{LF}Solicitação bônus ""{04}","Three Land of Sands requests completed!{LF}Bonus request ""{04}"
"Três solicitações de Cidade da Catedral concluídas!{LF}Solicitação bônus ""{04}","Three Cathedral City requests completed!{LF}Bonus request ""{04}"
"Bônus de Conclusão:","Completion Bonus:"
"Bônus de Conclusão de Missão!","Mission Completion Bonus!"
"{04}","{04}"
"Bônus de Conclusão de Missão!","Mission Completion Bonus!"
"Bônus de Assassino:","Slayer Bonus:"
"Bônus de Solicitação 2:","Request Bonus 2:"
"Bônus de Solicitação 3:","Request Bonus 3:"
"Bônus de Conclusão de Solicitação:","Request Completion Bonus:"
"Bônus de Soldado Dourado:","Gold Soldier Bonus:"
"Bônus Perfeito","Perfect Bonus"
"Bônus de Solicitação 7:","Request Bonus 7:"
"Bônus de Solicitação 8:","Request Bonus 8:"
"Bônus de Solicitação 9:","Request Bonus 9:"
"Bônus de Solicitação 10:","Request Bonus 10:"
"Eu tenho um novo trabalho que preciso de ajuda,","I've got a new job I need help with,"
