"translation","source"
"Configurações","Settings"
"Abandonar Missão","Abandon Mission"
"Ajustar configurações do jogo.","Adjust various game settings."
"Abandonar a missão atual e retornar ao menu de seleção de capítulo.","Abandon the current mission and return to the Chapter Select menu."
"Abandonar a missão atual e retornar ao menu de seleção de capítulo?","Abandon the current mission and return to the Chapter Select menu?"
"Música","Music"
"Alterar a música de fundo que toca durante a missão.","Change the background music that plays during the mission."
"Abandonar a missão atual e retornar ao menu principal.","Abandon the current mission and return to the Main Menu."
"Abandonar a missão atual e retornar ao menu principal?","Abandon the current mission and return to the Main Menu?"
"Menu de Seleção","Select Menu"
