"translation","source"
"Aaron J. Adams (Gerente de QA, SQUARE ENIX, INC.)","Aaron J. Adams (QA Manager, SQUARE ENIX, INC.)"
"Adam Erde (Representante do Centro de Informação, SQUARE ENIX, INC.)","Adam Erde (Information Center Representative, SQUARE ENIX, INC.)"
"Adam Pelc (Tradutor de QA, SQUARE ENIX, INC.)","Adam Pelc (QA Translator, SQUARE ENIX, INC.)"
"Adam Sullivan (Conselheiro Sênior, Assuntos Jurídicos e Negócios, SQUARE ENIX, INC.)","Adam Sullivan (Sr. Counsel, Business & Legal Affairs, SQUARE ENIX, INC.)"
"Aimi Tokutake (Coordenadora de Comunicação e Eventos do Projeto, SQUARE ENIX, INC.)","Aimi Tokutake (Project Com and Events Coordinator, SQUARE ENIX, INC.)"
"Akari Yamamoto (Modeladora de Conjuntos e Propriedades, ACCESS GAMES INC.)","Akari Yamamoto (Sets & Props Modeler, ACCESS GAMES INC.)"
"Akihiko Kamiya (Designer de CG, ATTIC CO., LTD.)","Akihiko Kamiya (CG Designer, ATTIC CO., LTD.)"
"Akihiro Minami (Programador de Áudio, SQUARE ENIX CO., LTD.)","Akihiro Minami (Audio Programmer, SQUARE ENIX CO., LTD.)"
"Akihiro Miura (Animador, DigitalMediaLab., Inc.)","Akihiro Miura (Animator, DigitalMediaLab., Inc.)"
"Akinori Ozawa (Gerente, iNiS Corporation)","Akinori Ozawa (Manager, iNiS Corporation)"
"Akira Chodo (Designer de CG, MOZOO, Inc.)","Akira Chodo (CG Designer, MOZOO, Inc.)"
"Akira Hisamoto (Funcionário de Vendas e Marketing, SQUARE ENIX CO., LTD.)","Akira Hisamoto (Sales & Marketing Staff, SQUARE ENIX CO., LTD.)"
"Akira Iwasawa (Supervisor de Animação Facial de Cenas, SQUARE ENIX CO., LTD.)","Akira Iwasawa (Cutscene Facial Animation Supervisor, SQUARE ENIX CO., LTD.)"
"Alan Averill (Editor de Localização em Inglês, 8-4, Ltd.)","Alan Averill (English Localization Editor, 8-4, Ltd.)"
"Alec Anderson (Testador de QA, SQUARE ENIX, INC.)","Alec Anderson (QA Tester, SQUARE ENIX, INC.)"
