"translation","source"
"Controles / Esquiva","Controls: Evading"
"Pressione {01}{0B} para se esquivar na direção em que está virado.{LF}Use isso enquanto estiver travado no inimigo para se mover rapidamente ao redor dos seus adversários.","Press {01}{0B} to evade in the direction you're facing.{LF}Use it while locked on to quickly get around your foes."
"Controles / Troca de Armas","Controls: Changing Weapons"
"Pressione {01}{09} ou {01}{0C} para abrir o menu de armas, então pressione{LF}o botão que corresponde à arma que você deseja usar.","Press {01}{09} or {01}{0C} to open the weapons menu, then press{LF}the button that corresponds to the weapon you want to use."
"Armas da Zero / Lanças","Zero's Weapons: Spears"
"Lanças não apenas têm poder e alcance longo,{LF}mas também podem ser usadas para quebrar a defesa do inimigo.","Spears not only pack power and have a long reach,{LF}they can also be used to break through the enemy's guard."
"Controles / Defesa","Controls: Guarding"
"Pressione {01}{02} para se defender dos ataques inimigos. Defender consome estamina;{LF}se seu Medidor de Estamina chegar a 0, sua defesa será quebrada.","Press {01}{02} to guard against enemy attacks. Guarding depletes stamina;{LF}if your Stamina Gauge hits 0, your guard will be broken."
"Armas da Zero / Chakrams","Zero's Weapons: Chakrams"
"Chakrams são armas de longo alcance que são eficazes{LF}contra inimigos aéreos e inimigos distantes.","Chakrams are long-range weapons that are effective{LF}against airborne enemies and faraway foes."
"Controles / Modo Intoner","Controls: Intoner Mode"
"Pressione {01}{0A} e {01}{0D} simultaneamente para ativar o Modo Intoner.{LF}Pressione-os novamente para encerrar o Modo Intoner.","Press {01}{0A} and {01}{0D} simultaneously to activate Intoner Mode.{LF}Press them again to end Intoner Mode."
"Inimigo / Escudeiro","エネミー / 盾兵"
"Escudeiros podem ter seus escudos destruídos{LF}por ataques de habilidade com {01}{04}.","盾兵は、{01}{04}によるスキル攻撃によって、{LF}盾を破壊する事ができます。"
"Baús de Tesouro","Treasure Chests"
"Ataque um baú para revelar o conteúdo dentro.{LF}Verifique a tela de resultados no final da fase para mais informações.","Attack a chest to reveal the contents inside.{LF}Check the results screen at the end of the stage for more info."
"Operação de Mikhail 2","ミハイルの操作２"
"Durante um salto, pressione {01}{01} para entrar no modo de voo.{LF}{01}{02} para cancelar o modo e aterrissar.","ジャンプ中に{01}{01}で、飛翔モードとなります。{LF}{01}{02}で、モードを解除して地上に降りることができます。"
"Controles / Ações Básicas","Controls: Basic Actions"
"Use o analógico esquerdo para mover o retículo de mira.{LF}Pressione {01}{03} para soprar fogo no local mirado.","Use the left stick to move the targeting reticle.{LF}Press {01}{03} to breathe fire at the targeted location."
"Controles / Travamento múltiplo de alvos","Controls: Multi Lock-on"
"Pressione e segure {01}{03} e use o analógico esquerdo para travar a mira em múltiplos inimigos.{LF}Solte {01}{03} para atacar todos os inimigos mirados ao mesmo tempo.","Hold {01}{03} and use the left stick to lock on to multiple foes.{LF}Release {01}{03} to attack all targeted foes at once."
"Controles / Rolamento","Controls: Rolling"
"Pressione {01}{0B} ou {01}{02} para realizar uma rolagem evasiva que o protege{LF}de ataques. Use-o com o analógico esquerdo para movimento mais rápido.","Press {01}{0B} or {01} to perform an evasive roll that protects you{LF}from attacks. Use it with the left stick for speedier movement."
"Armas da Zero / Punhos de Combate","Zero's Weapons: Combat Bracers"
"Braçadeiras de combate são ideais para desferir combos consecutivos{LF}contra inimigos únicos em espaços apertados.","Combat bracers are ideal for piling on combos{LF}against single enemies in tight spaces."
"Operação / Contornar Inimigos","操作 / 回り込み動作"
"Ao realizar um passo lateral enquanto está bloqueado, você pode{LF}contornar o inimigo por trás.","ロックオンした状態で左右ステップを行うと、{LF}敵の背後に回り込めます。"
"Inimigo / Canhoneiro","エネミー / 小砲台兵"
"As balas disparadas do canhão caem{LF}na posição do cursor de impacto.","大砲から発射される弾丸は、{LF}着弾カーソルの位置に落下します。"
"Armas da Zero / Espada","ゼロの武器 / 剣"
"A espada é uma arma excelente para ataques rápidos e{LF}ataques em uma área específica. Mostra seu poder quando cercado por muitos inimigos.","剣は俊敏さと一定範囲に対する攻撃に優れた武器です。{LF}大勢に囲まれたときにその威力を発揮します。"
"Inimigo / Morto-Vivo","エネミー / アンデッド"
"Eles estão equipados com um escudo que anula ataques.{LF}Eles continuarão a se levantar até que você os derrote definitivamente.","相手の攻撃を無効化する盾を装備しています。{LF}確実にとどめを刺さない限り、何度でも蘇ります。"
"Inimigo / Lobo","エネミー / ウルフ"
"Eles são habilidosos em ataques rápidos e saltos longos.{LF}Eles atacam em grupo, liderados pelo Lobo Líder.","俊敏な動きと跳躍をいかしたリーチのある攻撃が得意です。{LF}リーダーウルフを中心に群れで行動します。"
"Características da Roda de Batalha / Ataques Carregados","戦輪の特徴 / チャージ攻撃"
