"translation","source","can_modify"
"Lâmina do Zero Nv. 1","M{#Name=""Zero's Blade Lv. 1""}","1"
"Lâmina do Zero Nv. 2","M{#Name=""Zero's Blade Lv. 2""}","1"
"Lâmina do Zero Nv. 3","M{#Name=""Zero's Blade Lv. 3""}","1"
"Lâmina do Zero Nv. 4","M{#Name=""Zero's Blade Lv. 4""}","1"
"Grito Pecaminoso Nv. 1","L{#Name=""Sinful Scream Lv. 1""}","1"
"Grito Pecaminoso Nv. 2","L{#Name=""Sinful Scream Lv. 2""}","1"
"Grito Pecaminoso Nv. 3","L{#Name=""Sinful Scream Lv. 3""}","1"
"Grito Pecaminoso Nv. 4","L{#Name=""Sinful Scream Lv. 4""}","1"
"Voz Eterna Nv. 1","S{#Name=""Eternal Voice Lv. 1""}","1"
"Voz Eterna Nv. 2","S{#Name=""Eternal Voice Lv. 2""}","1"
"Voz Eterna Nv. 3","M{#Name=""Eternal Voice Lv. 3""}","1"
"Voz Eterna Nv. 4","M{#Name=""Eternal Voice Lv. 4""}","1"
"Lâmina Cerimonial Nv. 1","S{#Name=""Ceremonial Blade Lv. 1""}","1"
"Lâmina Cerimonial Nv. 2","S{#Name=""Ceremonial Blade Lv. 2""}","1"
"Lâmina Cerimonial Nv. 3","S{#Name=""Ceremonial Blade Lv. 3""}","1"
"Lâmina Cerimonial Nv. 4","S{#Name=""Ceremonial Blade Lv. 4""}","1"
"Senhor do Trovão Nv. 1","S{#Name=""Thunder Lord Lv. 1""}","1"
"Senhor do Trovão Nv. 2","M{#Name=""Thunder Lord Lv. 2""}","1"
"Senhor do Trovão Nv. 3","M{#Name=""Thunder Lord Lv. 3""}","1"
"Senhor do Trovão Nv. 4","M{#Name=""Thunder Lord Lv. 4""}","1"
"Pecado Virginal Nv. 1","M{#Name=""Virginal Sin Lv. 1""}","1"
"Pecado Virginal Nv. 2","M{#Name=""Virginal Sin Lv. 2""}","1"
"Pecado Virginal Nv. 3","M{#Name=""Virginal Sin Lv. 3""}","1"
"Pecado Virginal Nv. 4","M{#Name=""Virginal Sin Lv. 4""}","1"
"Enxofre Santo Nv. 1","S{#Name=""Saintly Brimstone Lv. 1""}","1"
"Enxofre Santo Nv. 2","M{#Name=""Saintly Brimstone Lv. 2""}","1"
"Enxofre Santo Nv. 3","M{#Name=""Saintly Brimstone Lv. 3""}","1"
"Enxofre Santo Nv. 4","M{#Name=""Saintly Brimstone Lv. 4""}","1"
"Carteiro de Sangue Nv. 1","M{#Name=""Bloodletter Lv. 1""}","1"
"Carteiro de Sangue Nv. 2","M{#Name=""Bloodletter Lv. 2""}","1"
"Carteiro de Sangue Nv. 3","M{#Name=""Bloodletter Lv. 3""}","1"
"Carteiro de Sangue Nv. 4","M{#Name=""Bloodletter Lv. 4""}","1"
"Pacto Falso Nv. 1","S{#Name=""False Pact Lv. 1""}","1"
"Pacto Falso Nv. 2","S{#Name=""False Pact Lv. 2""}","1"
"Pacto Falso Nv. 3","M{#Name=""False Pact Lv. 3""}","1"
"Pacto Falso Nv. 4","M{#Name=""False Pact Lv. 4""}","1"
"Ferro Quebrado Nv. 1","S{#Name=""Broken Iron Lv. 1""}","1"
"Ferro Quebrado Nv. 2","L{#Name=""Broken Iron Lv. 2""}","1"
"Ferro Quebrado Nv. 3","L{#Name=""Broken Iron Lv. 3""}","1"
"Ferro Quebrado Nv. 4","L{#Name=""Broken Iron Lv. 4""}","1"
"Chama de Gaia Nv. 1","S{#Name=""Gaia's Flame Lv. 1""}","1"
"Chama de Gaia Nv. 2","M{#Name=""Gaia's Flame Lv. 2""}","1"
"Chama de Gaia Nv. 3","M{#Name=""Gaia's Flame Lv. 3""}","1"
"Chama de Gaia Nv. 4","M{#Name=""Gaia's Flame Lv. 4""}","1"
"Fogo Lunar Nv. 1","L{#Name=""Moonfire Lv. 1""}","1"
"Fogo Lunar Nv. 2","L{#Name=""Moonfire Lv. 2""}","1"
"Fogo Lunar Nv. 3","L{#Name=""Moonfire Lv. 3""}","1"
