"translation","source"
"Lâmina da Zero Nv. 1","Zero's Blade Lv. 1"
"Lâmina da Zero Nv. 2","Zero's Blade Lv. 2"
"Lâmina da Zero Nv. 3","Zero's Blade Lv. 3"
"Lâmina da Zero Nv. 4","Zero's Blade Lv. 4"
"Grito Pecaminoso Nv. 1","Sinful Scream Lv. 1"
"Grito Pecaminoso Nv. 2","Sinful Scream Lv. 2"
"Grito Pecaminoso Nv. 3","Sinful Scream Lv. 3"
"Grito Pecaminoso Nv. 4","Sinful Scream Lv. 4"
"Voz Eterna Nv. 1","Eternal Voice Lv. 1"
"Voz Eterna Nv. 2","Eternal Voice Lv. 2"
"Voz Eterna Nv. 3","Eternal Voice Lv. 3"
"Voz Eterna Nv. 4","Eternal Voice Lv. 4"
"Lâmina Cerimonial Nv. 1","Ceremonial Blade Lv. 1"
"Lâmina Cerimonial Nv. 2","Ceremonial Blade Lv. 2"
"Lâmina Cerimonial Nv. 3","Ceremonial Blade Lv. 3"
"Lâmina Cerimonial Nv. 4","Ceremonial Blade Lv. 4"
"Senhor do Trovão Nv. 1","Thunder Lord Lv. 1"
"Senhor do Trovão Nv. 2","Thunder Lord Lv. 2"
"Senhor do Trovão Nv. 3","Thunder Lord Lv. 3"
"Senhor do Trovão Nv. 4","Thunder Lord Lv. 4"
"Pecado Virginal Nv. 1","Virginal Sin Lv. 1"
"Pecado Virginal Nv. 2","Virginal Sin Lv. 2"
"Pecado Virginal Nv. 3","Virginal Sin Lv. 3"
"Pecado Virginal Nv. 4","Virginal Sin Lv. 4"
"Enxofre Santo Nv. 1","Saintly Brimstone Lv. 1"
"Enxofre Santo Nv. 2","Saintly Brimstone Lv. 2"
"Enxofre Santo Nv. 3","Saintly Brimstone Lv. 3"
"Enxofre Santo Nv. 4","Saintly Brimstone Lv. 4"
"Carteiro de Sangue Nv. 1","Bloodletter Lv. 1"
"Carteiro de Sangue Nv. 2","Bloodletter Lv. 2"
"Carteiro de Sangue Nv. 3","Bloodletter Lv. 3"
"Carteiro de Sangue Nv. 4","Bloodletter Lv. 4"
"Pacto Falso Nv. 1","False Pact Lv. 1"
"Pacto Falso Nv. 2","False Pact Lv. 2"
"Pacto Falso Nv. 3","False Pact Lv. 3"
"Pacto Falso Nv. 4","False Pact Lv. 4"
"Ferro Quebrado Nv. 1","Broken Iron Lv. 1"
"Ferro Quebrado Nv. 2","Broken Iron Lv. 2"
"Ferro Quebrado Nv. 3","Broken Iron Lv. 3"
"Ferro Quebrado Nv. 4","Broken Iron Lv. 4"
"Chama de Gaia Nv. 1","Gaia's Flame Lv. 1"
"Chama de Gaia Nv. 2","Gaia's Flame Lv. 2"
"Chama de Gaia Nv. 3","Gaia's Flame Lv. 3"
"Chama de Gaia Nv. 4","Gaia's Flame Lv. 4"
"Fogo Lunar Nv. 1","Moonfire Lv. 1"
"Fogo Lunar Nv. 2","Moonfire Lv. 2"
"Fogo Lunar Nv. 3","Moonfire Lv. 3"
"Fogo Lunar Nv. 4","Moonfire Lv. 4"
"Trovão Celestial Nv. 1","Skyward Thunder Lv. 1"
"Trovão Celestial Nv. 2","Skyward Thunder Lv. 2"
"Trovão Celestial Nv. 3","Skyward Thunder Lv. 3"
"Trovão Celestial Nv. 4","Skyward Thunder Lv. 4"
"Lamentos e Sussurros Nv. 1","Cries and Whispers Lv. 1"
"Lamentos e Sussurros Nv. 2","Cries and Whispers Lv. 2"
"Lamentos e Sussurros Nv. 3","Cries and Whispers Lv. 3"
"Lamentos e Sussurros Nv. 4","Cries and Whispers Lv. 4"
"Uma vez uma mulher Nv. 1","Once a Woman Lv. 1"
"Uma vez uma mulher Nv. 2","Once a Woman Lv. 2"
"Uma vez uma mulher Nv. 3","Once a Woman Lv. 3"
"Uma vez uma mulher Nv. 4","Once a Woman Lv. 4"
"Presas Imperiais Nv. 1","Imperial Fang Lv. 1"
"Presas Imperiais Nv. 2","Imperial Fang Lv. 2"
"Presas Imperiais Nv. 3","Imperial Fang Lv. 3"
"Presas Imperiais Nv. 4","Imperial Fang Lv. 4"
