"translation","source"
"Esfera de Quest restante {04}","クエストスフィア残り {04}"
"Coletei todas as bolsas de ouro!","金袋を全て集めた！"
"{04}","{04}"
"{04}","{04}"
"Objetivo alcançado: Inimigos derrotados!","目標達成 ： 敵を殲滅した！"
"Objetivo alcançado: {04}","目標達成 ： {04}"
"{04}","{04}"
"{04}","{04}"
"Objetivo alcançado: Todas as {04}","目標達成：全ての{04}"
"Objetivo alcançado: {04}","目標達成：{04}"
"{04}","{04}"
"{04}","{04}"
"{04}","{04}"
"{04}","{04}"
"Tempo esgotado!","Time's up!"
"Continuar","Continue"
"Voltar para Seleção de Capítulo","Return to Chapter Select"
"Iniciar a partir do Checkpoint","Start from Checkpoint"
"Iniciar a partir do Início","Start from Beginning"
"Abandonar a missão atual?","Abandon the current mission?"
"Item de objetivo obtido!","Target item obtained!"
"Pedir Ajuda","Call for Help"
"Checkpoint alcançado!","Checkpoint reached!"
"Arma obtida!","Weapon obtained!"
"Ouro obtido!","Gold obtained!"
"Material básico obtido!","Base material obtained!"
"Todas as medalhas coletadas!","All medals collected!"
"Todas as joias coletadas!","All jewels collected!"
"Todas as garras coletadas!","All claws collected!"
"Todos os livros coletados!","All books collected!"
"Todas as roupas coletadas!","All cloths collected!"
"Todos os corações coletados!","All hearts collected!"
"Voltar ao Menu Principal","Return to Main Menu"
"Abandonar a missão atual e voltar ao menu principal?","Abandon the current mission and return to the main menu?"
"Inimigos derrotados!","Enemies defeated!"
"Soldados inimigos derrotados!","Enemy soldiers defeated!"
"Joia obtida!","Jewel obtained!"
