"translation","source"
"Campanha","Campaign"
"Missão","クエスト"
"Baixar Missões","Download Missions"
"Banco de Dados","Database"
"Fluxo de História","Story Flow"
"Alternar Abas","Switch Tabs"
"Selecionar/Alternar Abas","Select/Switch Tabs"
"Voltar ao menu principal?","Return to the main menu?"
"Você não atendeu às condições necessárias para escolher essa missão.","You haven't satisfied the conditions required to choose this mission."
"Não lido","未読です"
"Você precisa coletar todas as armas antes de poder escolher essa ramificação.{LF}Sua porcentagem de conclusão de armas atual é {04}","You need to collect every weapon before you can choose this branch.{LF}Your current weapon completion percentage is {04}"
"Sua porcentagem de coleta de armas atual é {04}","現在の武器収集率は{04}"
"Você não ganhará experiência durante essa missão.{LF}Você ainda deseja prosseguir?","You won't earn any experience during this mission.{LF}Do you still wish to proceed?"
"Você precisa atender {04}","You need to fulfill {04}"
"Descrição","Description"
"Condições","Conditions"
"Dias até o próximo pagamento: {04}","Days until next payday: {04}"
"Capítulo 0","Chapter 0"
"Capítulo 1","Chapter 1"
"Capítulo 2","Chapter 2"
"Capítulo 3","Chapter 3"
"Capítulo 4","Chapter 4"
"Capítulo 5","Chapter 5"
"Capítulo 3","Chapter 3"
"Capítulo 4","Chapter 4"
"Capítulo 5","Chapter 5"
"Versos Perdidos","Lost Verses"
"Capítulo 2","Chapter 2"
"Capítulo 3","Chapter 3"
"Capítulo 4","Chapter 4"
"Capítulo 5","Chapter 5"
"V1","V1"
"V2","V2"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V5","V5"
"V6","V6"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V5","V5"
"V6","V6"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V5","V5"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V5","V5"
"LV","LV"
"LV","LV"
"LV","LV"
"V1","V1"
"V2","V2"
"V3","V3"
"V4","V4"
"V5","V5"
"V6","V6"
"V7","V7"
"V8","V8"
"Final","Final"
"Rota A","Branch A"
"Rota B","Branch B"
"Rota C","Branch C"
"Rota D","Branch D"
"Você precisa completar a Rota A antes de poder escolher essa missão.","You need to complete Branch A before you can choose this mission."
"Terra dos Mares","Land of Seas"
"Terra das Montanhas","Land of Mountains"
"Terra das Florestas","Land of Forests"
"Terra das Areias","Land of Sands"
"Cidade da Catedral","Cathedral City"
