"translation","source","can_modify"
"Bloqueia para colocar o oponente em seu alcance de visão.{LF}Qualquer ataque do dragão pode ser devastador, então tente afigurar-se as ações do seu oponente antes de agir.{#Name=""Gravação 0020_10: Gabriel""}","Lock on to get the opponent in your sights.{LF}Any of the dragon's attacks can be{LF}devastating, so try getting a handle on{LF}your foe's moves before taking action.{#Name=""Recording 0020_10: Gabriel""}","1"
"Os dragões têm um soco formidável. Use as suas habilidades defensivas e evasivas para travar a batalha, e acima de tudo, não seja temerário.{#Name=""Gravação 0020_20: Gabriel""}","Dragons pack a formidable punch. Use your{LF}defensive and evasive skills to wage the{LF}battle, and above all, don't be reckless.{#Name=""Recording 0020_20: Gabriel""}","1"
"Os dragões têm um soco formidável. Use as suas habilidades defensivas e evasivas para travar a batalha, e acima de tudo, não seja temerário.{#Name=""Gravação 0020_20: Gabriel""}","Dragons pack a formidable punch. Use your{LF}defensive and evasive skills to wage the{LF}battle, and above all, don't be reckless.{#Name=""Recording 0020_20: Gabriel""}","1"
"Por que não tenta bloquear Phanuel quando ele sair da água?{LF}Manter uma boa visão dos seus movimentos vai ajudá-lo a manter a vantagem na batalha.{#Name=""Gravação 1040_10: Phanuel""}","Why not try locking on to Phanuel once he leaves{LF}the water? Keeping a close eye on his movements{LF}will help you keep the advantage in battle.{#Name=""Recording 1040_10: Phanuel""}","1"
"Quando vir o marcador laranja, é a sua oportunidade para atacar Phanuel. Não a deixe passar!{#Name=""Gravação 1040_20: Phanuel""}","When you see the orange marker, that's your{LF}chance to attack Phanuel. Don't miss it!{#Name=""Recording 1040_20: Phanuel""}","1"
"Os ataques baseados em fogo são geralmente ineficazes{LF}submersos, então tente arrastar seu inimigo para a terra{LF}antes de atacar. Ataque-o de frente antes que ele{LF}se esconda debaixo d'água para tirá-lo de lá.{#Name=""Recording 1040_30: Phanuel""}","Fire-based attacks are generally ineffective{LF}underwater, so try dragging your foe up to land{LF}before striking. Bash him head-on before he{LF}dives beneath the water to get him out.{#Name=""Recording 1040_30: Phanuel""}","1"
"Os blasts de energia que saem dos círculos mágicos{LF}podem ser destruídos. Se você se encontrar sobrecarregado,{LF}tente usar seu bloqueio multiplas para{LF}derrubá-los de forma mais eficiente.{#Name=""Recording 2060_10: Armaros""}","The energy blasts that fire out of the magic circles{LF}can be destroyed. If you find yourself getting{LF}overwhelmed, try using your multi lock-on to{LF}more efficiently take them down.{#Name=""Recording 2060_10: Armaros""}","1"
"Se você se encontrar em apuros, tente acionar{LF}o Modo Intoner. Não apenas você será capaz de causar{LF}um monte de dano adicional, você também se tornará{LF}invencível por um curto período de tempo.{#Name=""Recording 2060_20: Armaros""}","If you find yourself in trouble, try triggering{LF}Intoner Mode. Not only will you be able to deal{LF}a ton of additional damage, you'll also make{LF}yourself invincible for a short period of time.{#Name=""Recording 2060_20: Armaros""}","1"
"É melhor destruir essas canhões irritantes rapidamente.{LF}Tente atacá-las enquanto transita entre as torres;{LF}uma vez que elas estejam fora do caminho, você pode atacar{LF}Armaros sem distrações desnecessárias.{#Name=""Recording 2060_30: Armaros""}","It's best to destroy those pesky cannons quickly.{LF}Try attacking them while transitioning between towers;{LF}once they're out of the picture, you can attack{LF}Armaros without any unnecessary distractions.{#Name=""Recording 2060_30: Armaros""}","1"
"O núcleo pulsante pendurado abaixo da fortaleza é{LF}seu ponto fraco. Não seja enganado por seus movimentos;{LF}tente prever onde ele irá em seguida ao atacar.{#Name=""Recording 2060_40: Armaros""}","The pulsating core hanging beneath the fortress is{LF}its weak point. Don't be fooled by its movements;{LF}try to predict where it'll go next as you attack.{#Name=""Recording 2060_40: Armaros""}","1"
"Os tiros explosivos podem ser destruídos antes{LF}de explodirem. Use seu bloqueio multiplas para tentar{LF}derrubá-los de uma só vez.{#Name=""Recording 2060_50: Armaros""}","The exploding shots can be destroyed before{LF}they blow up. Use your multi lock-on to try{LF}and take them down in one fell swoop.{#Name=""Recording 2060_50: Armaros""}","1"
"Você pode usar {01}{0B} para tentar evitar qualquer ataque{LF}que falhe em abater. Tenha cuidado para não evitar{LF}demais, ou Four pode escapar.{#Name=""Recording 2060_60: Armaros""}","You can use {01}{0B} to try and evade any attacks{LF}you fail to shoot down. Be careful not to evade{LF}too much, though, or Four might be able to escape.{#Name=""Recording 2060_60: Armaros""}","1"
"Se uma das bonecas de Armisael se agarrar a você,{LF}eventualmente explodirá e causará dano.{LF}Use saltos, evasivas e outras manobras rápidas{LF}para tentar sacudi-la.{#Name=""Recording 3060_10: Armisael""}","If one of Armisael's dolls clings to you,{LF}it'll eventually explode and deal damage.{LF}Use jumps, evades, and other quick{LF}maneuvers to try and shake it off.{#Name=""Recording 3060_10: Armisael""}","1"
"O ataque de feixe de Armisael consome uma grande quantidade{LF}de seu poder de canção, enfraquecendo-a por um período de{LF}tempo após. É sua chance de atacar!{#Name=""Recording 3060_20: Armisael""}","Armisael's beam attack consumes a great deal{LF}of its song power, weakening it for a period of{LF}time afterward. That's your chance to strike!{#Name=""Recording 3060_20: Armisael""}","1"
"Quando você vê o marcador laranja, essa é sua{LF}chance de atacar Armisael. Não perca!{#Name=""Recording 3060_30: Armisael""}","When you see the orange marker, that's your{LF}chance to attack Armisael. Don't miss it!{#Name=""Recording 3060_30: Armisael""}","1"
"Enquanto os Egregori tiverem sua armadura,{LF}você não pode danificá-los. Bata neles{LF}para derrubar a armadura, então ataque.{#Name=""Recording 4040_10: Egregori""}","As long as the Egregori have their armor,{LF}you can't damage them. Bash into them{LF}to knock the armor off, then strike.{#Name=""Recording 4040_10: Egregori""}","1"
"Remover a armadura dos Egregori os enfraquece,{LF}mas também elimina qualquer chance de atacá-los{LF}com golpes corpo a corpo. Mude para fogo em vez disso.{#Name=""Recording 4040_20: Egregori""}","Removing the Egregori's armor weakens them,{LF}but also eliminates any chance to strike them{LF}with melee blows. Switch to fire instead.{#Name=""Recording 4040_20: Egregori""}","1"
"Quando você vê o marcador laranja, essa é sua{LF}chance de atacar os Egregori. Não perca!{#Name=""Recording 4040_30: Egregori""}","When you see the orange marker, that's your{LF}chance to attack the Egregori. Don't miss it!{#Name=""Recording 4040_30: Egregori""}","1"
"O ponto fraco de Gabriel está dentro de sua boca.{LF}Procure pelo marcador laranja e ataque{LF}rápido assim que você o vê.{#Name=""Recording 5010_10: Gabriel""}","Gabriel's weak spot is inside his mouth.{LF}Look for the orange marker and strike{LF}fast once you see it.{#Name=""Recording 5010_10: Gabriel""}","1"
"O ataque a laser de Gabriel é perigoso, mas{LF}também fornece uma oportunidade primária de atacar.{LF}Assista-o começar a carregar energia,{LF}e então agarre a chance de esmagá-lo.{#Name=""Recording 5010_20: Gabriel""}","Gabriel's laser attack is dangerous, but it{LF}also provides a prime opportunity to strike.{LF}Watch for him to start charging up energy,{LF}and then seize the chance to pummel him.{#Name=""Recording 5010_20: Gabriel""}","1"
"Se necessário, você pode derrubar as{LF}espadas de luz que Gabriel dispara contra você.{LF}Use seu bloqueio multiplas para mirar e{LF}destruir múltiplas espadas ao mesmo tempo.{#Name=""Recording 5010_30: Gabriel""}","If necessary, you can shoot down the{LF}swords of light that Gabriel fires at you.{LF}Use your multi lock-on to target and{LF}destroy multiple swords at once.{#Name=""Recording 5010_30: Gabriel""}","1"
"Os ataques de bola de fogo de Gabriel podem ser detonados{LF}antes de serem lançados. O intervalo após uma{LF}bola de fogo explodir é sua melhor chance de ataque.{LF}Use-o para atingi-lo com toda força!{#Name=""Recording 5040_10: Gabriel""}","Gabriel's fireball attacks can be detonated{LF}before they're launched. The interval after a{LF}fireball explodes is your best attack chance.{LF}Use it to hit him as hard as you can!{#Name=""Recording 5040_10: Gabriel""}","1"
"O ponto fraco de Gabriel está dentro de sua boca.{LF}Procure pelo marcador laranja e ataque{LF}rapidamente assim que você o vir.{#Name=""Recording 5040_20: Gabriel""}","Gabriel's weak spot is inside his mouth.{LF}Look for the orange marker and strike{LF}fast once you see it.{#Name=""Recording 5040_20: Gabriel""}","1"
"Os ataques de bola de fogo de Gabriel podem ser detonados{LF}antes de serem lançados. O intervalo após uma{LF}bola de fogo explodir é sua melhor chance de ataque.{LF}Use-o para atingi-lo com toda força!{#Name=""Recording 5040_10: Gabriel""}","Gabriel's fireball attacks can be detonated{LF}before they're launched. The interval after a{LF}fireball explodes is your best attack chance.{LF}Use it to hit him as hard as you can!{#Name=""Recording 5040_10: Gabriel""}","1"
"Não desista do ataque. Use a chance{LF}que Mikhail lhe deu para conquistar a vitória! A barreira{LF}baseada em música que protegia Gabriel também foi{LF}enfraquecida, então tente danificar suas pernas feridas.{#Name=""Recording 5040_30: Gabriel""}","Don't let up on your attack. Use the chance{LF}Mikhail gave you to seize victory! The song-{LF}based barrier protecting Gabriel has also been{LF}weakened, so try to damage his injured legs.{#Name=""Recording 5040_30: Gabriel""}","1"
"Ele pode estar ferido e enfraquecido,{LF}mas o dragão ainda tem um golpe poderoso.{LF}Não esqueça suas habilidades de bloqueio e evasão.{#Name=""Recording 5040_40: Gabriel""}","He may be wounded and weakened,{LF}but the dragon still packs a powerful punch.{LF}Don't forget your blocking and evasion skills.{#Name=""Recording 5040_40: Gabriel""}","1"
"O ponto fraco de Gabriel está em sua boca, então{LF}você não pode machucá-lo se ele apenas estiver parado.{LF}Você precisa criar uma situação em que possa{LF}atacar o interior de sua boca.{#Name=""Recording 5040_50: Gabriel""}","Gabriel's weak spot is in his mouth, so you{LF}can't hurt him if he's just standing there.{LF}You need to create a situation where you {LF}can attack the inside of his mouth.{#Name=""Recording 5040_50: Gabriel""}","1"
