"translation","source"
"Personagens","Characters"
"Armas","Weapons"
"Ver informações detalhadas do personagem.","View detailed character information."
"Ver histórias de armas e outras informações de armas.","View weapon stories and other weapon information."
"Banco de Dados","Database"
"{04}","{04}"
"? ? ?","? ? ?"
"Espadas","Swords"
"Lanças","Spears"
"Braçadeiras de Combate","Combat Bracers"
"Chakrams","Chakrams"
"Armas de DLC","DLC Weapons"
"{04}","{04}"
"Selecionar/Rotacionar Modelo CONFIRMADO NÃO USADO 1126","Select/Rotate Model CONFIRMED NOT USED 1126"
"Ver animação do personagem. CONFIRMADO NÃO USADO 1126","View character animation. CONFIRMED NOT USED 1126"
"Selecione uma arma para ver sua história de arma e detalhes adicionais.","Select a weapon to view its weapon story and additional details."
"Selecione um personagem para ver.","Select a character to view."
"Selecione uma animação para ver. CONFIRMADO NÃO USADO 1126","Select an animation to view. CONFIRMED NOT USED 1126"
"Demonstração","デモ"
