"translation","source"
"Zero","Zero"
"Michael","Michael"
"Mikhail (Estágio 1)","Mikhail (Stage 1)"
"Mikhail (Estágio 2)","Mikhail (Stage 2)"
"Mikhail (Estágio 3)","Mikhail (Stage 3)"
"Dito","Dito"
"Decadus","Decadus"
"Octa","Octa"
"Cent","Cent"
"Five","Five"
"Four","Four"
"Three","Three"
"Two","Two"
"One","One"
"Irmão de One","One's Brother"
"Accord","Accord"
"Phanuel","Phanuel"
"Armaros","Armaros"
"Armisael","Armisael"
"Egregori","Egregori"
"Gabriel","Gabriel"
"Raphael","Raphael"
"Abdiel","Abdiel"
"Zofiel","Zofiel"
"Galgaliel","Galgaliel"
"Ezrael","Ezrael"
