"translation","source"
"{null}{#Name=""""}","{null}{#Name=""""}"
"{null}{#Name=""""}","{null}{#Name=""""}"
"Manopla{#Name=""""}","籠手{#Name=""""}"
"3-2{#Name=""""}","３－２{#Name=""""}"
"3-2{#Name=""""}","３－２{#Name=""""}"
"Manopla{#Name=""""}","籠手{#Name=""""}"
"4-2{#Name=""""}","４－２{#Name=""""}"
"4-3{#Name=""""}","４－３{#Name=""""}"
"Manopla{#Name=""""}","籠手{#Name=""""}"
"5-2{#Name=""""}","５－２{#Name=""""}"
"5-3{#Name=""""}","５－３{#Name=""""}"
"Manopla{#Name=""""}","籠手{#Name=""""}"
"6-2{#Name=""""}","６－２{#Name=""""}"
"6-3{#Name=""""}","６－３{#Name=""""}"
"7-1{#Name=""""}","７－１{#Name=""""}"
"7-2{#Name=""""}","７－２{#Name=""""}"
"7-3{#Name=""""}","７－３{#Name=""""}"
"8-1{#Name=""""}","８－１{#Name=""""}"
"8-2{#Name=""""}","８－２{#Name=""""}"
"8-3{#Name=""""}","８－３{#Name=""""}"
"9-1{#Name=""""}","９－１{#Name=""""}"
"10-1{#Name=""""}","１０－１{#Name=""""}"
"10-2{#Name=""""}","１０－２{#Name=""""}"
"10-3{#Name=""""}","１０－３{#Name=""""}"
"11-1{#Name=""""}","１１－１{#Name=""""}"
"11-2{#Name=""""}","１１－２{#Name=""""}"
"11-3{#Name=""""}","１１－３{#Name=""""}"
"12-1{#Name=""""}","１２－１{#Name=""""}"
"12-2{#Name=""""}","１２－２{#Name=""""}"
"12-3{#Name=""""}","１２－３{#Name=""""}"
"13-1{#Name=""""}","１３－１{#Name=""""}"
"13-2{#Name=""""}","１３－２{#Name=""""}"
"13-3{#Name=""""}","１３－３{#Name=""""}"
"14-1{#Name=""""}","１４－１{#Name=""""}"
"14-2{#Name=""""}","１４－２{#Name=""""}"
"14-3{#Name=""""}","１４－３{#Name=""""}"
"15-1{#Name=""""}","１５－１{#Name=""""}"
"15-2{#Name=""""}","１５－２{#Name=""""}"
"15-3{#Name=""""}","１５－３{#Name=""""}"
"16-1{#Name=""""}","１６－１{#Name=""""}"
"16-2{#Name=""""}","１６－２{#Name=""""}"
"16-3{#Name=""""}","１６－３{#Name=""""}"
"17-1{#Name=""""}","１７－１{#Name=""""}"
"17-2{#Name=""""}","１７－２{#Name=""""}"
"17-3{#Name=""""}","１７－３{#Name=""""}"
"18-1{#Name=""""}","１８－１{#Name=""""}"
"18-2{#Name=""""}","１８－２{#Name=""""}"
"18-3{#Name=""""}","１８－３{#Name=""""}"
"19-1{#Name=""""}","１９－１{#Name=""""}"
"19-2{#Name=""""}","１９－２{#Name=""""}"
"19-3{#Name=""""}","１９－３{#Name=""""}"
"20-1{#Name=""""}","２０－１{#Name=""""}"
"20-2{#Name=""""}","２０－２{#Name=""""}"
"20-3{#Name=""""}","２０－３{#Name=""""}"
"21-1{#Name=""""}","２１－１{#Name=""""}"
"21-2{#Name=""""}","２１－２{#Name=""""}"
"21-3{#Name=""""}","２１－３{#Name=""""}"
"22-1{#Name=""""}","２２－１{#Name=""""}"
"22-2{#Name=""""}","２２－２{#Name=""""}"
"22-3{#Name=""""}","２２－３{#Name=""""}"
