"translation","source"
"Manopla 1-1","籠手１－１"
"Manopla 2-1","籠手２－１"
"Manopla 3-1","籠手３－１"
"Manopla 3-2","籠手３－２"
"Manopla 3-3","籠手３－３"
"Manopla 4-1","籠手４－１"
"Manopla 4-2","籠手４－２"
"Manopla 4-3","籠手４－３"
"Manopla 5-1","籠手５－１"
"Manopla 5-2","籠手５－２"
"Manopla 5-3","籠手５－３"
"Manopla 6-1","籠手６－１"
"Manopla 6-2","籠手６－２"
"Manopla 6-3","籠手６－３"
"Manopla 7-1","籠手７－１"
"Manopla 7-2","籠手７－２"
"Manopla 7-3","籠手７－３"
"Manopla 8-1","籠手８－１"
"Manopla 8-2","籠手８－２"
"Manopla 8-3","籠手８－３"
"Manopla 9-1","籠手９－１"
"Manopla 10-1","籠手１０－１"
"Manopla 10-2","籠手１０－２"
"Manopla 10-3","籠手１０－３"
"Manopla 11-1","籠手１１－１"
"Manopla 11-2","籠手１１－２"
"Manopla 11-3","籠手１１－３"
"Manopla 12-1","籠手１２－１"
"Manopla 12-2","籠手１２－２"
"Manopla 12-3","籠手１２－３"
"Manopla 13-1","籠手１３－１"
"Manopla 13-2","籠手１３－２"
"Manopla 13-3","籠手１３－３"
"Manopla 14-1","籠手１４－１"
"Manopla 14-2","籠手１４－２"
"Manopla 14-3","籠手１４－３"
"Manopla 15-1","籠手１５－１"
"Manopla 15-2","籠手１５－２"
"Manopla 15-3","籠手１５－３"
"Manopla 16-1","籠手１６－１"
"Manopla 16-2","籠手１６－２"
"Manopla 16-3","籠手１６－３"
"Manopla 17-1","籠手１７－１"
"Manopla 17-2","籠手１７－２"
"Manopla 17-3","籠手１７－３"
"Manopla 18-1","籠手１８－１"
"Manopla 18-2","籠手１８－２"
"Manopla 18-3","籠手１８－３"
"Manopla 19-1","籠手１９－１"
"Manopla 19-2","籠手１９－２"
"Manopla 19-3","籠手１９－３"
"Manopla 20-1","籠手２０－１"
"Manopla 20-2","籠手２０－２"
"Manopla 20-3","籠手２０－３"
"Manopla 21-1","籠手２１－１"
"Manopla 21-2","籠手２１－２"
"Manopla 21-3","籠手２１－３"
"Manopla 22-1","籠手２２－１"
"Manopla 22-2","籠手２２－２"
"Manopla 22-3","籠手２２－３"
