"translation","source"
"Comprar Itens","Buy Items"
"Trocar Armas","Change Weapons"
"Escolher Discípulos","Choose Disciples"
"Trocar Trajes/Música","Change Outfits/Music"
"Configurações","Settings"
"Salvar","Save"
"Continuar Campanha","Continue Campaign"
"Iniciar Missão","Begin Mission"
"Ouro","Gold"
"G","G"
"Comprar Armas","Buy Weapons"
"Atualizar Armas","Upgrade Weapons"
"Itens","Items"
"Espadas","Swords"
"Lanças","Spears"
"Braçadeiras de Combate","Combat Bracers"
"Chakras","Chakrams"
"Comprar?","Purchase?"
"Custo: {04}","Cost: {04}"
"Você não tem ouro suficiente.","You don't have enough gold."
"{04}","{04}"
"Quantos você gostaria?","How many would you like?"
"Você não pode carregar mais.","You can't carry any more."
"Atualizar {04}","Upgrade {04}"
"{04}","{04}"
"Você não tem o material base necessário.","You don't have the required base material."
"Nv. {04}","Lv. {04}"
"Poder:","Power:"
"Tamanho:","Size:"
"Espada Leve CONFIRMADO NÃO USADO 1126","Light Sword CONFIRMED NOT USED 1126"
"Espada Média CONFIRMADO NÃO USADO 1126","Medium Sword CONFIRMED NOT USED 1126"
"Espada Pesada CONFIRMADO NÃO USADO 1126","Heavy Sword CONFIRMED NOT USED 1126"
"Espada Longa CONFIRMADO NÃO USADO 1126","Long Sword CONFIRMED NOT USED 1126"
"Lança Leve CONFIRMADO NÃO USADO 1126","Light Spear CONFIRMED NOT USED 1126"
"Lança Média CONFIRMADO NÃO USADO 1126","Medium Spear CONFIRMED NOT USED 1126"
"Lança Pesada CONFIRMADO NÃO USADO 1126","Heavy Spear CONFIRMED NOT USED 1126"
"Lança Longa CONFIRMADO NÃO USADO 1126","Long Spear CONFIRMED NOT USED 1126"
"Chakram Leve CONFIRMADO NÃO USADO 1126","Light Chakram CONFIRMED NOT USED 1126"
"Chakram Médio CONFIRMADO NÃO USADO 1126","Medium Chakram CONFIRMED NOT USED 1126"
"Chakram Pesado CONFIRMADO NÃO USADO 1126","Heavy Chakram CONFIRMED NOT USED 1126"
"Chakram Longo CONFIRMADO NÃO USADO 1126","Long Chakram CONFIRMED NOT USED 1126"
"Braçadeira de Combate Leve CONFIRMADO NÃO USADO 1126","Light Combat Bracers CONFIRMED NOT USED 1126"
"Braçadeira de Combate Média CONFIRMADO NÃO USADO 1126","Medium Combat Bracers CONFIRMED NOT USED 1126"
"Braçadeira de Combate Pesada CONFIRMADO NÃO USADO 1126","Heavy Combat Bracers CONFIRMED NOT USED 1126"
"Braçadeira de Combate Longa CONFIRMADO NÃO USADO 1126","Long Combat Bracers CONFIRMED NOT USED 1126"
"Salvar seu progresso?","Save your progress?"
"Agora salvando...{LF}Por favor, não desligue o sistema PlayStation®3.","Now saving...{LF}Please do not turn off the PlayStation®3 system."
"Progresso salvo.","Progress saved."
"Habilidade: {04}","Ability: {04}"
"Escolha dois discípulos para levar junto nesta missão.","Choose two disciples to bring along on this mission."
"Iniciar a missão?","Begin the mission?"
"Compre itens e atualize armas.","Purchase items and upgrade weapons."
"Escolha quais armas equipar.","Choose which weapons to equip."
"Escolha quais discípulos levar junto nas missões.","Choose which disciples to bring along on missions."
"Mude a roupa da Zero, a aparência do Mikhail ou a música de fundo.","Change Zero's outfit, Mikhail's appearance, or the background music."
"Ajuste configurações de jogo.","Adjust various game settings."
"Salve o progresso do jogo atual.","Save your current game progress."
"Termine os preparativos de batalha e inicie a missão.","Finish battle preparations and begin the mission."
"--- ","--- "
"Compre itens.","Purchase items."
"Compre armas.","Purchase weapons."
"Atualize as armas em sua posse.","Upgrade the weapons in your possession."
"Você não tem essa arma.","You don't have this weapon."
"Você não tem outras armas.","You don't have any other weapons."
"Compre itens e armas.","Purchase items and weapons."
"→","→"
"Não há armas compráveis disponíveis.","No purchasable weapons available."
"Não há upgrades adicionais disponíveis.","No further upgrades available."
"Novos Itens em Estoque!","New Items in Stock!"
"Obrigado pelo seu apoio!","Thank you for your support!"
"Itens de Accord","Accord's Items"
"Atualmente Equipado:","Currently Equipped:"
"Discípulos Atuais","Current Disciples"
"Nv. ","Lv. "
"Essa arma não pode ser atualizada na loja!","This weapon cannot be upgraded in the shop!"
"Você precisa de pelo menos três discípulos para mudar membros da equipe.","You need at least three disciples in order to change party members."
"CONFIRMADO NÃO USADO 1126","CONFIRMED NOT USED 1126"
"Vazio","Empty"
"Você não tem armas desse tipo ainda.","You don't have any weapons of this type yet."
"Regras de Accord:","Accord's Rules:"
"1. Não conte com seus itens.","1. Don't rely on your items."
"2. Não conte com seus companheiros.","2. Don't rely on your companions."
"3. Não reclame comigo sobre as regras 1 ou 2.","3. Don't whine at me about rules 1 or 2."
"Selecione o discípulo para substituir.","Select the disciple to replace."
"Selecione o discípulo para levar com você.","Select the disciple to bring with you."
"(Sem dados.)","(No data.)"
"Seleção de Capítulo","Chapter Select"
"Conclua os preparativos de batalha e retorne ao menu de Seleção de Capítulo.","Finish battle preparations and return to the Chapter Select menu."
"Armas Coletadas: {04}","Weapons Collected: {04}"
"Memórias das Intoners","Memories of the Intoners"
"Visualize as histórias bônus que você desbloqueou via DLC.","View the memories of the Intoners."
"Five 「Livro de Entrega」","ファイブ　「納品書」"
"Four 「Coisas que Quero Dizer a Todos」","フォウ　「みんなに伝えたい事」"
"Three 「Lembranças de um Soldado」","スリイ　「ある兵士の追憶」"
