"translation","source","can_modify"
"Guarding with {01} blocks attacks in all directions.{LF}However, guarding saps stamina, so be careful{LF}not to block too many attacks in succession or{LF}you'll run the risk of having your guard broken.{#Name=""Guarding""}","Guarding with {01} blocks attacks in all directions.{LF}However, guarding saps stamina, so be careful{LF}not to block too many attacks in succession or{LF}you'll run the risk of having your guard broken.{#Name=""Guarding""}","1"
"To parry, press {01} just before an attack lands.{LF}If you parry an enemy's arrow, you can{LF}deflect the arrow back toward your foe.{#Name=""Parrying""}","To parry, press {01} just before an attack lands.{LF}If you parry an enemy's arrow, you can{LF}deflect the arrow back toward your foe.{#Name=""Parrying""}","1"
"Use the mini-map on the top right of the{LF}screen to view your current position.{LF}You can press {01}{0A} to zoom in and out; if you{LF}get lost, try zooming out to view the full map.{#Name=""The Mini-map""}","Use the mini-map on the top right of the{LF}screen to view your current position.{LF}You can press {01}{0A} to zoom in and out; if you{LF}get lost, try zooming out to view the full map.{#Name=""The Mini-map""}","1"
"Press {01}{0A} + {01}{0D} to activate Intoner Mode.{LF}Press it again at any time to exit this mode while{LF}keeping your Blood Gauge at its current level.{#Name=""Intoner Mode""}","Press {01}{0A} + {01}{0D} to activate Intoner Mode.{LF}Press it again at any time to exit this mode while{LF}keeping your Blood Gauge at its current level.{#Name=""Intoner Mode""}","1"
"You can string together special combo attacks{LF}by pressing {01}{03} and {01}{04} in various sequences.{LF}View the Combo List in the Pause Menu to see all{LF}the possible combo routes for a particular weapon.{#Name=""Combo Attacks""}","You can string together special combo attacks{LF}by pressing {01}{03} and {01}{04} in various sequences.{LF}View the Combo List in the Pause Menu to see all{LF}the possible combo routes for a particular weapon.{#Name=""Combo Attacks""}","1"
"Use {01}{01} while attacking with {01}{03} to launch both{LF}you and your foe into the air, allowing you to{LF}trigger midair strikes. Heavier foes cannot{LF}be juggled, so judge an enemy carefully{LF}before attempting this maneuver.{#Name=""Aerial Combos""}","Use {01}{01} while attacking with {01}{03} to launch both{LF}you and your foe into the air, allowing you to{LF}trigger midair strikes. Heavier foes cannot{LF}be juggled, so judge an enemy carefully{LF}before attempting this maneuver.{#Name=""Aerial Combos""}","1"
"Press {01}{08} to lock on to a foe. Move {01}{0F} up, down,{LF}left, or right to switch between available targets.{#Name=""Locking On""}","Press {01}{08} to lock on to a foe. Move {01}{0F} up, down,{LF}left, or right to switch between available targets.{#Name=""Locking On""}","1"
"Press the START button to open the Pause Menu.{LF}Press the up button to open the Combo List,{LF}or the down button to open the Items screen.{#Name=""The Pause Menu""}","Press the START button to open the Pause Menu.{LF}Press the up button to open the Combo List,{LF}or the down button to open the Items screen.{#Name=""The Pause Menu""}","1"
"Press {01}{0B} to evade. Try locking on to a foe,{LF}then evading left or right to get behind{LF}them and gain the upper hand.{#Name=""Evading""}","Press {01}{0B} to evade. Try locking on to a foe,{LF}then evading left or right to get behind{LF}them and gain the upper hand.{#Name=""Evading""}","1"
"You can also evade while jumping. This can be{LF}useful for dodging attacks while airborne, or for{LF}getting extra distance when jumping across gaps.{LF}Note that unlike when on the ground, you can't{LF}evade multiple times in succession when in the air.{#Name=""Aerial Evading""}","You can also evade while jumping. This can be{LF}useful for dodging attacks while airborne, or for{LF}getting extra distance when jumping across gaps.{LF}Note that unlike when on the ground, you can't{LF}evade multiple times in succession when in the air.{#Name=""Aerial Evading""}","1"
"Press {01}{0D} to display an arrow indicator that{LF}points toward your next goal. Use this along with{LF}the mini-map if you ever find yourself lost.{#Name=""Navigation Help""}","Press {01}{0D} to display an arrow indicator that{LF}points toward your next goal. Use this along with{LF}the mini-map if you ever find yourself lost.{#Name=""Navigation Help""}","1"
"Press {01}{09} or {01}{0C} to switch weapons.{LF}You can even do so in the middle of an attack,{LF}which will trigger an extra strike as you{LF}move from one weapon to the next.{#Name=""Switching Weapons""}","Press {01}{09} or {01}{0C} to switch weapons.{LF}You can even do so in the middle of an attack,{LF}which will trigger an extra strike as you{LF}move from one weapon to the next.{#Name=""Switching Weapons""}","1"
"Your chain (hit) count will rise as you strike foes{LF}in rapid succession. Once it's high enough, you'll{LF}start to earn bonus bloodspheres and other drops.{#Name=""Chain Combos""}","Your chain (hit) count will rise as you strike foes{LF}in rapid succession. Once it's high enough, you'll{LF}start to earn bonus bloodspheres and other drops.{#Name=""Chain Combos""}","1"
"Enter a summon circle and press {01} to call your{LF}dragon to fight alongside you. He will attack{LF}in various ways depending on the situation.{#Name=""Summon Circles""}","Enter a summon circle and press {01} to call your{LF}dragon to fight alongside you. He will attack{LF}in various ways depending on the situation.{#Name=""Summon Circles""}","1"
"Visit the Database from the Main Menu{LF}to view Weapon Stories. Each time you{LF}upgrade a weapon and raise its level,{LF}you'll reveal more of its story.{#Name=""Weapon Stories""}","Visit the Database from the Main Menu{LF}to view Weapon Stories. Each time you{LF}upgrade a weapon and raise its level,{LF}you'll reveal more of its story.{#Name=""Weapon Stories""}","1"
"You can upgrade weapons at the Battle Preparation{LF}menu. This requires both gold and base materials,{LF}which can be found in treasure chests and elsewhere.{LF}Base materials come in several varieties, and each{LF}weapon requires a specific one in order to upgrade.{#Name=""Upgrading Weapons""}","You can upgrade weapons at the Battle Preparation{LF}menu. This requires both gold and base materials,{LF}which can be found in treasure chests and elsewhere.{LF}Base materials come in several varieties, and each{LF}weapon requires a specific one in order to upgrade.{#Name=""Upgrading Weapons""}","1"
"Though limited in range, swords allow for swift{LF}attacks, making them handy all-around weapons.{LF}They can be especially useful if you find{LF}yourself surrounded by a large force.{#Name=""Swords""}","Though limited in range, swords allow for swift{LF}attacks, making them handy all-around weapons.{LF}They can be especially useful if you find{LF}yourself surrounded by a large force.{#Name=""Swords""}","1"
"The amount of damage you take within a{LF}mission decreases based on the number of{LF}continues used. If you fail, just keep trying!{#Name=""Continues""}","The amount of damage you take within a{LF}mission decreases based on the number of{LF}continues used. If you fail, just keep trying!{#Name=""Continues""}","1"
"Accord will issue rewards as you complete her{LF}requests. Whenever you fulfill a request for the{LF}first time, she'll grant an additional bonus.{LF}Some bonuses (such as the ability to carry more{LF}recovery items) can only be earned in this way.{#Name=""Accord's Requests""}","Accord will issue rewards as you complete her{LF}requests. Whenever you fulfill a request for the{LF}first time, she'll grant an additional bonus.{LF}Some bonuses (such as the ability to carry more{LF}recovery items) can only be earned in this way.{#Name=""Accord's Requests""}","1"
"Spears are heavy and slow, but offer the power{LF}and reach needed to break through enemy defenses.{LF}They can be useful when fighting tougher foes.{#Name=""Spears""}","Spears are heavy and slow, but offer the power{LF}and reach needed to break through enemy defenses.{LF}They can be useful when fighting tougher foes.{#Name=""Spears""}","1"
"When fighting strong foes, tap {01}{03} rapidly to whittle{LF}away their health with bursts of deadly dragonfire.{LF}For groups of weaker enemies, hold down {01}{03}{LF}to lock on to and shoot multiple foes at once.{LF}Mix up your tactics as the situation demands.{#Name=""Airborne Attacking""}","When fighting strong foes, tap {01}{03} rapidly to whittle{LF}away their health with bursts of deadly dragonfire.{LF}For groups of weaker enemies, hold down {01}{03}{LF}to lock on to and shoot multiple foes at once.{LF}Mix up your tactics as the situation demands.{#Name=""Airborne Attacking""}","1"
"Press {01}{0B} to perform a roll that makes you invincible{LF}for a brief period. If you lure enemies close and roll{LF}toward their attacks, you can fly right through them.{LF}Take advantage of this tactic when you don't have{LF}enough space to fully avoid an incoming strike.{#Name=""Airborne Evading""}","Press {01}{0B} to perform a roll that makes you invincible{LF}for a brief period. If you lure enemies close and roll{LF}toward their attacks, you can fly right through them.{LF}Take advantage of this tactic when you don't have{LF}enough space to fully avoid an incoming strike.{#Name=""Airborne Evading""}","1"
"Combat bracers are good for stringing together{LF}combos. They also provide access to lots of{LF}powerful stamina-based moves. This mix of{LF}combo chaining and stamina strikes makes{LF}them most useful when battling single foes.{#Name=""Combat Bracers""}","Combat bracers are good for stringing together{LF}combos. They also provide access to lots of{LF}powerful stamina-based moves. This mix of{LF}combo chaining and stamina strikes makes{LF}them most useful when battling single foes.{#Name=""Combat Bracers""}","1"
"Chakrams are great long-range weapons that{LF}allow you to strike from a distance while still{LF}holding your ground. Press and hold the attack{LF}button for a stronger charged strike.{#Name=""Chakrams""}","Chakrams are great long-range weapons that{LF}allow you to strike from a distance while still{LF}holding your ground. Press and hold the attack{LF}button for a stronger charged strike.{#Name=""Chakrams""}","1"
"Magic-infused sunlight can sap your health.{LF}Find an area with some shade to cool down{LF}and recover from sun-based damage.{#Name=""Sun Damage""}","Magic-infused sunlight can sap your health.{LF}Find an area with some shade to cool down{LF}and recover from sun-based damage.{#Name=""Sun Damage""}","1"
"ＴＩＰＳ_２５　　　　　　　　　　一行目{LF}ＴＩＰＳ_２５　　　　　　　　　　二行目{LF}ＴＩＰＳ_２５　　　　　　　　　　三行目{LF}ＴＩＰＳ_２５　　　　　　　　　　四行目{LF}ＴＩＰＳ_２５　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２５""}","ＴＩＰＳ_２５　　　　　　　　　　一行目{LF}ＴＩＰＳ_２５　　　　　　　　　　二行目{LF}ＴＩＰＳ_２５　　　　　　　　　　三行目{LF}ＴＩＰＳ_２５　　　　　　　　　　四行目{LF}ＴＩＰＳ_２５　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２５""}","1"
"ＴＩＰＳ_２６　　　　　　　　　　一行目{LF}ＴＩＰＳ_２６　　　　　　　　　　二行目{LF}ＴＩＰＳ_２６　　　　　　　　　　三行目{LF}ＴＩＰＳ_２６　　　　　　　　　　四行目{LF}ＴＩＰＳ_２６　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２６""}","ＴＩＰＳ_２６　　　　　　　　　　一行目{LF}ＴＩＰＳ_２６　　　　　　　　　　二行目{LF}ＴＩＰＳ_２６　　　　　　　　　　三行目{LF}ＴＩＰＳ_２６　　　　　　　　　　四行目{LF}ＴＩＰＳ_２６　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２６""}","1"
"ＴＩＰＳ_２７　　　　　　　　　　一行目{LF}ＴＩＰＳ_２７　　　　　　　　　　二行目{LF}ＴＩＰＳ_２７　　　　　　　　　　三行目{LF}ＴＩＰＳ_２７　　　　　　　　　　四行目{LF}ＴＩＰＳ_２７　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２７""}","ＴＩＰＳ_２７　　　　　　　　　　一行目{LF}ＴＩＰＳ_２７　　　　　　　　　　二行目{LF}ＴＩＰＳ_２７　　　　　　　　　　三行目{LF}ＴＩＰＳ_２７　　　　　　　　　　四行目{LF}ＴＩＰＳ_２７　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２７""}","1"
"ＴＩＰＳ_２８　　　　　　　　　　一行目{LF}ＴＩＰＳ_２８　　　　　　　　　　二行目{LF}ＴＩＰＳ_２８　　　　　　　　　　三行目{LF}ＴＩＰＳ_２８　　　　　　　　　　四行目{LF}ＴＩＰＳ_２８　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２８""}","ＴＩＰＳ_２８　　　　　　　　　　一行目{LF}ＴＩＰＳ_２８　　　　　　　　　　二行目{LF}ＴＩＰＳ_２８　　　　　　　　　　三行目{LF}ＴＩＰＳ_２８　　　　　　　　　　四行目{LF}ＴＩＰＳ_２８　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２８""}","1"
"ＴＩＰＳ_２９　　　　　　　　　　一行目{LF}ＴＩＰＳ_２９　　　　　　　　　　二行目{LF}ＴＩＰＳ_２９　　　　　　　　　　三行目{LF}ＴＩＰＳ_２９　　　　　　　　　　四行目{LF}ＴＩＰＳ_２９　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２９""}","ＴＩＰＳ_２９　　　　　　　　　　一行目{LF}ＴＩＰＳ_２９　　　　　　　　　　二行目{LF}ＴＩＰＳ_２９　　　　　　　　　　三行目{LF}ＴＩＰＳ_２９　　　　　　　　　　四行目{LF}ＴＩＰＳ_２９　　　　　　　　　　五行目{#Name=""ＴＩＰＳ_２９""}","1"
