"translation","source"
"{04}{#Name="" ""}","{04}{#Name="" ""}"
"Capítulo 0:{#Name="" ""}","Chapter 0:{#Name="" ""}"
"Capítulo 1:{#Name="" ""}","Chapter 1:{#Name="" ""}"
"Capítulo 2:{#Name="" ""}","Chapter 2:{#Name="" ""}"
"Capítulo 3:{#Name="" ""}","Chapter 3:{#Name="" ""}"
"Capítulo 4:{#Name="" ""}","Chapter 4:{#Name="" ""}"
"Capítulo 5:{#Name="" ""}","Chapter 5:{#Name="" ""}"
"Rota B:{#Name="" ""}","Branch B:{#Name="" ""}"
"Rota C:{#Name="" ""}","Branch C:{#Name="" ""}"
"Rota D:{#Name="" ""}","Branch D:{#Name="" ""}"
"DLC{#Name="" ""}","DLC{#Name="" ""}"
"Reserva{#Name="" ""}","予備{#Name="" ""}"
"Reserva{#Name="" ""}","予備{#Name="" ""}"
"Reserva{#Name="" ""}","予備{#Name="" ""}"
"Reserva{#Name="" ""}","予備{#Name="" ""}"
"Verso 1{#Name="" ""}","Verse 1{#Name="" ""}"
"Verso 2{#Name="" ""}","Verse 2{#Name="" ""}"
"Verso 1{#Name="" ""}","Verse 1{#Name="" ""}"
"Verso 2{#Name="" ""}","Verse 2{#Name="" ""}"
"Verso 3{#Name="" ""}","Verse 3{#Name="" ""}"
"Verso 4{#Name="" ""}","Verse 4{#Name="" ""}"
"Verso 1{#Name="" ""}","Verse 1{#Name="" ""}"
"Verso 2{#Name="" ""}","Verse 2{#Name="" ""}"
"Verso 3{#Name="" ""}","Verse 3{#Name="" ""}"
"Verso 4{#Name="" ""}","Verse 4{#Name="" ""}"
"Verso 5{#Name="" ""}","Verse 5{#Name="" ""}"
"Verso 6{#Name="" ""}","Verse 6{#Name="" ""}"
"Verso 1{#Name="" ""}","Verse 1{#Name="" ""}"
"Verso 2{#Name="" ""}","Verse 2{#Name="" ""}"
"Verso 3{#Name="" ""}","Verse 3{#Name="" ""}"
"Verso 4{#Name="" ""}","Verse 4{#Name="" ""}"
"Verso 5{#Name="" ""}","Verse 5{#Name="" ""}"
"Verso 6{#Name="" ""}","Verse 6{#Name="" ""}"
"Verso 1{#Name="" ""}","Verse 1{#Name="" ""}"
"Verso 2{#Name="" ""}","Verse 2{#Name="" ""}"
"Verso 3{#Name="" ""}","Verse 3{#Name="" ""}"
"Verso 4{#Name="" ""}","Verse 4{#Name="" ""}"
