"translation","source"
" "," "
"1010","1010"
"1020","1020"
"1030","1030"
"1040","1040"
"2010","2010"
"2020","2020"
"2030","2030"
"2040","2040"
"2050","2050"
"2060","2060"
"3010","3010"
"3020","3020"
"3030","3030"
"3040","3040"
"3050","3050"
"3060","3060"
"4010","4010"
"4020","4020"
"4030","4030"
"4040","4040"
"5010","5010"
"5020","5020"
"5030","5030"
"5040","5040"
"Passado","「過去」"
"Terra dos Mares","「海の国」"
"Terra das Montanhas","「山の国」"
"Terra das Florestas","「森の国」"
"Terra das Areias","「砂の国」"
"Cidade da Catedral","「教会都市」"
"Reparação","「代償」"
"Vômito","「嘔吐」"
"Flor","「花」"
"Subtítulo 10","サブタイトル１０"
"Subtítulo 11","サブタイトル１１"
"Subtítulo 12","サブタイトル１２"
"Subtítulo 13","サブタイトル１３"
"Subtítulo 14","サブタイトル１４"
"Subtítulo 15","サブタイトル１５"
"Subtítulo 16","サブタイトル１６"
"Subtítulo 17","サブタイトル１７"
"Subtítulo 18","サブタイトル１８"
"Subtítulo 19","サブタイトル１９"
"Subtítulo 20","サブタイトル２０"
