"translation","source"
"Inimigo","Enemy"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado Dourado","Gold Soldier"
"Soldado Aperfeiçoado","Enhanced Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Canhoneiro","Cannoneer"
"Canhoneiro","Cannoneer"
"Canhoneiro","Cannoneer"
"Canhoneiro","Cannoneer"
"Canhoneiro","Cannoneer"
"-","-"
"Lobo","Wolf"
"Lobo da Areia","Sandwolf"
"-","-"
"Lobo","Wolf"
"Lobo da Areia","Sandwolf"
"-","-"
"Lanceiro","Lancer"
"Capitão Lanceiro","Lancer Captain"
"-","-"
"Espírito","Spirit"
"Grande Espírito","Greater Spirit"
"-","-"
"Diabinho","Imp"
"-","-"
"-","-"
"Ogro","Ogre"
"Ogro da Areia","Sand Ogre"
"-","-"
"Troll","Troll"
"Troll Bruto","Brute Troll"
"-","-"
"Mago","Wizard"
"-","-"
"Necromante","Necromancer"
"Feiticeiro","Sorcerer"
"-","-"
"Morto-vivo","Undead"
"Soldado Morto-vivo","Undead Soldier"
"Paladino Morto-vivo","Undead Paladin"
"-","-"
"-","-"
"Wyvern","Wyvern"
"-","-"
"-","-"
"Espectro","Specter"
"-","-"
"-","-"
"Wyvern","Wyvern"
"Wyvern","Wyvern"
"-","-"
"Gigas","Gigas"
"Gigas","Gigas"
"Gigas Morto-vivo","Undead Gigas"
"-","-"
"Titã","Titan"
"Lorde Titã","Titan Lord"
"Arquititã","Arch Titan"
"-","-"
"Cérbero","Cerberus"
"-","-"
"Cérbero Flamejante","Flame Cerberus"
"Cérbero Cinzento","Gray Cerberus"
"Golem","Golem"
"-","-"
"花（ワン）","花（ワン）"
"花（トウ）","花（トウ）"
"花（スリイ）","花（スリイ）"
"花（フォウ）","花（フォウ）"
"花（ファイブ）","花（ファイブ）"
"-","-"
"Centauro","Centaur"
"Centauro Flamejante","Flame Centaur"
"-","-"
"-","-"
"Cubo de Gárgula","Gargoyle Cube"
"-","-"
"-","-"
"-","-"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Soldado","Soldier"
"Bombardeiro","Bomber"
"Phanuel","Phanuel"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"-","-"
"Armisael","Armisael"
"Armisael","Armisael"
"Armisael","Armisael"
"Egregori","Egregori"
"Gabriel","Gabriel"
"Gabriel","Gabriel"
"Gabriel","Gabriel"
"Zofiel","Zofiel"
"Zero","Zero"
"Grande Gigas","Greater Gigas"
"Falsa Zero","False Zero"
"Homúnculo","Homunculus"
"Galgaliel","Galgaliel"
"Galgaliel","Galgaliel"
"Galgaliel","Galgaliel"
"Galgaliel","Galgaliel"
"Ezrael","Ezrael"
"Raphael","Raphael"
"Abdiel","Abdiel"
"Abdiel","Abdiel"
"Abdiel","Abdiel"
"Grande Caranguejo Suculento","Big, Juicy Crab"
"Pequeno Caranguejo Suculento","Little Juicy Crab"
"Michael","Michael"
"Dirigível","Airship"
"Balsa Aérea","Air Skiff"
"Navio Pirata Elfo Maligno","Evil Elf Pirate Ship"
"-","-"
"One","One"
"One","One"
"Two","Two"
"Three","Three"
"Four","Four"
"Five","Five"
"Zero","Zero"
"Cent","Cent"
"Estátua de Three","Three Statue"
"バリケード小","バリケード小"
"バリケード中","バリケード中"
"バリケード大","バリケード大"
"バリケード大 2","バリケード大 2"
"Canhão","Cannon"
"Canhão Pesado","Heavy Cannon"
"Canhão Hyper","Hyper Cannon"
"戦艦大砲台","戦艦大砲台"
"戦艦長距離大砲台","戦艦長距離大砲台"
"ハイパー砲台透明","ハイパー砲台透明"
"ハイパー砲台 (アルマロス周囲)","ハイパー砲台 (アルマロス周囲)"
"ハイパー砲台 (アルマロス上部)","ハイパー砲台 (アルマロス上部)"
"大砲台(4020)","大砲台(4020)"
"浮遊石S","浮遊石S"
"ガーゴイルキューブ（OBJ）","ガーゴイルキューブ（OBJ）"
"壊せる人面木","壊せる人面木"
"壊せる蔦柱","壊せる蔦柱"
"壊せる木0","壊せる木0"
"壊せる木1","壊せる木1"
"壊せる蔦壁小","壊せる蔦壁小"
"壊せる蔦壁大","壊せる蔦壁大"
"引っ込む蔦","引っ込む蔦"
"Embarcação","Landing Craft"
"Navio de Guerra","Battleship"
"木汎用","木汎用"
"ZH00 ゼロ家柱","ZH00 ゼロ家柱"
"アイテムボックス（木箱）","アイテムボックス（木箱）"
"ワイバーンの岩","ワイバーンの岩"
"宝箱","宝箱"
"爆弾（クエスト用）","爆弾（クエスト用）"
"Baú de Aço","Metallic Chest"
"Canhão","Cannon"
"Canhão Hyper","Hyper Cannon"
"Navio de Guerra","Battleship"
"Navio de Guerra","Battleship"
"Soldado","Soldier"
"Torre do Sul","Southern Tower"
"Torre do Leste","Eastern Tower"
"Torre do Oeste","Western Tower"
"Torre do Norte","Northern Tower"
"Soldado","Soldier"
"Soldado","Soldier"
"Ogro Aprimorado","Enhanced Ogre"
"Diabinho Aprimorado","Enhanced Imp"
"Cérbero Aprimorado","Enhanced Cerberus"
"Soldada","Female Soldier"
"Inimigos","Enemies"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados Dourados","Gold Soldiers"
"Soldados Aperfeiçoados","Enhanced Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Canhoneiros","Cannoneers"
"Canhoneiros","Cannoneers"
"Canhoneiros","Cannoneers"
"Canhoneiros","Cannoneers"
"Canhoneiros","Cannoneers"
"-","-"
"Lobos","Wolves"
"Lobos da Areia","Sandwolves"
"-","-"
"Lobos","Wolves"
"Lobos da Areia","Sandwolves"
"-","-"
"Lanceiros","Lancers"
"Capitães Lanceiros","Lancer Captains"
"-","-"
"Espíritos","Spirits"
"Grandes Espíritos","Greater Spirits"
"-","-"
"Diabinhos","Imps"
"-","-"
"-","-"
"Ogros","Ogres"
"Ogros da Areia","Sand Ogres"
"-","-"
"Trolls","Trolls"
"Trolls Brutos","Brute Trolls"
"-","-"
"Magos","Wizards"
"-","-"
"Necromantes","Necromancers"
"Feiticeiros","Sorcerers"
"-","-"
"Morto-vivo","Undead"
"Soldados Mortos-vivos","Undead Soldiers"
"Paladinos Mortos-vivos","Undead Paladins"
"-","-"
"-","-"
"Wyverns","Wyverns"
"-","-"
"-","-"
"Espectros","Specters"
"-","-"
"-","-"
"Wyverns","Wyverns"
"Wyverns","Wyverns"
"-","-"
"Gigantes","Gigantes"
"Gigantes","Gigantes"
"Gigantes Mortos-vivos","Undead Gigantes"
"-","-"
"Titãs","Titans"
"Lordes Titãs","Titan Lords"
"Arquititãs","Arch Titans"
"-","-"
"Cérberos","Cerberuses"
"-","-"
"Cérberos Flamejantes","Flame Cerberuses"
"Cérberos Cinzentos","Gray Cerberuses"
"Golens","Golems"
"-","-"
"花（ワン）","花（ワン）"
"花（トウ）","花（トウ）"
"花（スリイ）","花（スリイ）"
"花（フォウ）","花（フォウ）"
"花（ファイブ）","花（ファイブ）"
"-","-"
"Centauros","Centaurs"
"Centauros Flamejantes","Flame Centaurs"
"-","-"
"-","-"
"Cubos de Gárgula","Gargoyle Cubes"
"-","-"
"-","-"
"-","-"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Bombardeiros","Bombers"
"Phanuel","Phanuel"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"Armaros","Armaros"
"-","-"
"Armisaels","Armisaels"
"Armisaels","Armisaels"
"Armisaels","Armisaels"
"Egregori","Egregori"
"Gabriel","Gabriel"
"Gabriel","Gabriel"
"ガブリエル（傷）","ガブリエル（傷）"
"Zofiel","Zofiel"
"花（ゼロ）","花（ゼロ）"
"Gigantes Supremos","Greater Gigantes"
"Falsas Zeros","False Zeros"
"Homunculi","Homunculi"
"Galgaliels","Galgaliels"
"Galgaliels","Galgaliels"
"Galgaliels","Galgaliels"
"Galgaliels","Galgaliels"
"Ezrael","Ezrael"
"Raphael","Raphael"
"Abdiel","Abdiel"
"Abdiel","Abdiel"
"Abdiel","Abdiel"
"Grandes Caranguejos Suculentos","Big, Juicy Crabs"
"Pequenos Caranguejos Suculentos","Little Juicy Crabs"
"Michael","Michael"
"Dirigíveis","Airships"
"Balsas Aéreas","Air Skiffs"
"Navios Piratas Elfos Malignos","Evil Elf Pirate Ships"
"-","-"
"One","One"
"One","One"
"Two","Two"
"Three","Three"
"Four","Four"
"Five","Five"
"ゼロ最終","ゼロ最終"
"Cent","Cent"
"Estátuas de Three","Three Statues"
"バリケード小","バリケード小"
"バリケード中","バリケード中"
"バリケード大","バリケード大"
"バリケード大 2","バリケード大 2"
"Canhões","Cannons"
"Canhões Pesados","Heavy Cannons"
"Canhões Hyper","Hyper Cannons"
"戦艦大砲台","戦艦大砲台"
"戦艦長距離大砲台","戦艦長距離大砲台"
"ハイパー砲台透明","ハイパー砲台透明"
"ハイパー砲台 (アルマロス周囲)","ハイパー砲台 (アルマロス周囲)"
"ハイパー砲台 (アルマロス上部)","ハイパー砲台 (アルマロス上部)"
"大砲台(4020)","大砲台(4020)"
"浮遊石S","浮遊石S"
"ガーゴイルキューブ（OBJ）","ガーゴイルキューブ（OBJ）"
"壊せる人面木","壊せる人面木"
"壊せる蔦柱","壊せる蔦柱"
"壊せる木0","壊せる木0"
"壊せる木1","壊せる木1"
"壊せる蔦壁小","壊せる蔦壁小"
"壊せる蔦壁大","壊せる蔦壁大"
"引っ込む蔦","引っ込む蔦"
"Embarcações","Landing Crafts"
"Navios de Guerra","Battleships"
"木汎用","木汎用"
"ZH00 ゼロ家柱","ZH00 ゼロ家柱"
"アイテムボックス（木箱）","アイテムボックス（木箱）"
"ワイバーンの岩","ワイバーンの岩"
"宝箱","宝箱"
"爆弾（クエスト用）","爆弾（クエスト用）"
"Baús de Aço","Metallic Chests"
"Canhões","Cannons"
"Canhões Hyper","Hyper Cannons"
"Navios de Guerra","Battleships"
"Navios de Guerra","Battleships"
"Soldados","Soldiers"
"Torres do Sul","Southern Towers"
"Torres do Leste","Eastern Towers"
"Torres do Oeste","Western Towers"
"Torres do Norte","Northern Towers"
"Soldados","Soldiers"
"Soldados","Soldiers"
"Ogros Aprimorados","Enhanced Ogres"
"Diabinhos Aprimorados","Enhanced Imps"
"Cérberos Aprimorados","Enhanced Cerberuses"
"Soldadas","Female Soldiers"
