"translation","source"
"不使用1","不使用1"
"不使用2","不使用2"
"不使用3","不使用3"
"不使用4","不使用4"
"不使用5","不使用5"
"不使用6","不使用6"
"不使用7","不使用7"
"不使用8","不使用8"
"不使用9","不使用9"
"不使用10","不使用10"
"不使用11","不使用11"
"不使用12","不使用12"
"不使用13","不使用13"
"不使用14","不使用14"
"Sim","Yes"
"Não","No"
"不使用15","不使用15"
"Selec.","Select"
"Aceitar","Confirm"
"Voltar","Back"
"不使用15","不使用15"
"不使用16","不使用16"
"不使用17","不使用17"
"不使用18","不使用18"
"不使用19","不使用19"
"不使用20","不使用20"
"不使用21","不使用21"
"不使用22","不使用22"
"不使用23","不使用23"
"不使用24","不使用24"
"不使用25","不使用25"
"不使用26","不使用26"
"不使用27","不使用27"
"不使用28","不使用28"
"不使用29","不使用29"
"不使用30","不使用30"
"不使用31","不使用31"
"不使用32","不使用32"
"不使用33","不使用33"
"不使用34","不使用34"
"不使用35","不使用35"
"不使用36","不使用36"
"不使用37","不使用37"
"不使用38","不使用38"
"不使用39","不使用39"
"不使用40","不使用40"
"不使用41","不使用41"
"不使用42","不使用42"
"不使用43","不使用43"
"不使用44","不使用44"
"不使用45","不使用45"
"不使用46","不使用46"
"不使用47","不使用47"
"不使用48","不使用48"
"不使用49","不使用49"
"不使用50","不使用50"
"不使用51","不使用51"
"不使用52","不使用52"
"不使用53","不使用53"
"不使用54","不使用54"
"不使用55","不使用55"
"不使用56","不使用56"
"不使用57","不使用57"
"不使用58","不使用58"
"不使用59","不使用59"
"不使用60","不使用60"
"不使用61","不使用61"
"不使用62","不使用62"
"不使用63","不使用63"
"不使用64","不使用64"
"不使用65","不使用65"
"不使用66","不使用66"
"不使用67","不使用67"
"不使用68","不使用68"
"不使用69","不使用69"
"不使用70","不使用70"
"不使用71","不使用71"
"不使用72","不使用72"
"不使用73","不使用73"
"不使用74","不使用74"
"不使用75","不使用75"
"不使用76","不使用76"
"不使用77","不使用77"
"不使用78","不使用78"
"不使用79","不使用79"
"不使用80","不使用80"
"不使用81","不使用81"
"不使用82","不使用82"
"不使用83","不使用83"
"不使用84","不使用84"
"不使用85","不使用85"
"不使用86","不使用86"
"不使用87","不使用87"
"不使用88","不使用88"
"不使用89","不使用89"
"不使用90","不使用90"
"不使用91","不使用91"
"不使用92","不使用92"
"不使用93","不使用93"
"不使用94","不使用94"
"不使用95","不使用95"
"不使用96","不使用96"
"不使用97","不使用97"
"不使用98","不使用98"
"不使用99","不使用99"
"不使用100","不使用100"
"不使用101","不使用101"
"不使用102","不使用102"
"不使用103","不使用103"
"不使用104","不使用104"
"不使用105","不使用105"
"不使用106","不使用106"
"不使用107","不使用107"
"不使用108","不使用108"
"不使用109","不使用109"
"不使用110","不使用110"
"不使用111","不使用111"
"不使用112","不使用112"
"不使用113","不使用113"
"不使用114","不使用114"
"不使用115","不使用115"
"不使用116","不使用116"
"不使用117","不使用117"
"不使用118","不使用118"
"不使用119","不使用119"
"不使用120","不使用120"
"不使用121","不使用121"
"不使用122","不使用122"
"不使用123","不使用123"
"不使用124","不使用124"
"不使用125","不使用125"
"不使用126","不使用126"
"不使用127","不使用127"
"不使用128","不使用128"
"不使用129","不使用129"
"不使用130","不使用130"
"不使用131","不使用131"
"不使用132","不使用132"
"不使用133","不使用133"
"不使用134","不使用134"
"不使用135","不使用135"
"不使用136","不使用136"
"不使用137","不使用137"
"不使用138","不使用138"
"不使用139","不使用139"
"不使用140","不使用140"
"不使用141","不使用141"
"不使用142","不使用142"
"不使用143","不使用143"
"不使用144","不使用144"
"不使用145","不使用145"
"不使用146","不使用146"
"不使用147","不使用147"
"不使用148","不使用148"
"不使用149","不使用149"
"不使用150","不使用150"
"不使用151","不使用151"
"{04}","{04}"
"Não é possível usar este item.","Cannot use this item."
"不使用151","不使用151"
"不使用152","不使用152"
"不使用153","不使用153"
"不使用154","不使用154"
"不使用155","不使用155"
"不使用156","不使用156"
"不使用157","不使用157"
"不使用158","不使用158"
"不使用159","不使用159"
"不使用160","不使用160"
"不使用161","不使用161"
"不使用162","不使用162"
"不使用163","不使用163"
"不使用164","不使用164"
"不使用165","不使用165"
"不使用166","不使用166"
"不使用167","不使用167"
"不使用168","不使用168"
"不使用169","不使用169"
"セントセリフ５","セントセリフ５"
"Capítulo 2, Seção 3 – A Terra das Montanhas","第２章　第３節　～山の国～"
"Vá em direção à fortaleza onde Four está!","フォウのいる要塞を目指せ！"
"Monte Mikhail e destrua todos os canhões!","ミハイルに騎乗し、全砲門を破壊せよ！"
"Destrua o canhão gigante!","巨大砲台を破壊せよ！"
"Derrote todos os soldados Gigas!","全てのギガース兵を倒せ！"
"Derrote todos os soldados Gigas!","全てのギガース兵を倒せ！"
"Aniquile os soldados!","兵士たちを殲滅せよ！"
"""Tutorial""","“チュートリアル”"
"""Ativação Mágica""","『魔法の発動』"
"Água Curativa","癒しの水"
"Recuperação de 20% de HP","体力が20%回復する"
"Poção de Vitalidade (P)","快調の小瓶"
"Recuperação de 50% de HP","体力が50%回復する"
"Poção Mágica (P)","魔法の小瓶"
"Recuperação de 50% de MP","魔力が50%回復する"
"Estoque de Itens 4","アイテムストック４"
"Você pode carregar 4 itens","アイテムを4個所持できるようになる"
"Suporte Completo","全力応援"
"O efeito de itens que recuperam MP é duplicado","魔力ゲージを回復するアイテムの効果が2倍になる"
"Sangramento no Nariz","悩殺鼻血"
"Um orbe de sangue aparece, e você fica impossibilitado de lutar por um certo tempo","血のオーブを一個出現させ、一定時間戦闘不能となる"
"Birmingham Dash","バーミンガムダッシュ"
"Sem significado especial","特に意味はありません"
"Estoque de Itens 6","アイテムストック６"
"Você pode carregar 6 itens","アイテムを6個所持できるようになる"
"Dedicação","献身"
"O efeito de itens que recuperam HP é aumentado em 1,5 vezes","体力を回復するアイテムの効果が1.5倍になる"
"Polidor de Sapatos","靴なめ"
"Sua taxa de obediência aumenta por um certo tempo","一定時間服従度が上がりやすくなる"
"Cadeira Humana","人間椅子"
"Recupera uma pequena quantidade de HP a partir da Zero","ゼロの体力を少量回復する"
"Espada Real Caída","没落した王家の剣"
"HP +300","HP+300"
"Nenhum","無し"
"Espada da Zero","ゼロの剣"
"Zero War Wheel","ゼロの戦輪"
"Lança da Zero","ゼロの槍"
"Garra da Zero","ゼロの爪"
"炎上","炎上"
"前方","前方"
"Manopla de Chama","炎の篭手"
"Manopla de Gelo","氷の篭手"
"Manopla de Trovão","雷の篭手"
"Colar de Concha","貝殻の首飾り"
"HP se recupera lentamente de forma automática","体力がゆっくりとだが自動回復する"
"Asa de Lâmina","ブレードウィング"
"Poder de ataque corpo a corpo aumenta em 25%","打撃系の攻撃力が25%アップする"
"Capacete de Panda","パンダのかぶり物"
"Dano é reduzido em 30%","ダメージが30%カットされる"
