"translation","source"
"60{#Name=""60""}","60{#Name=""60""}"
"73{#Name=""73""}","73{#Name=""73""}"
"253{#Name=""253""}","253{#Name=""253""}"
"325{#Name=""325""}","325{#Name=""325""}"
"60{#Name=""60""}","60{#Name=""60""}"
"379{#Name=""379""}","379{#Name=""379""}"
"307{#Name=""307""}","307{#Name=""307""}"
"181{#Name=""181""}","181{#Name=""181""}"
"73{#Name=""73""}","73{#Name=""73""}"
"60{#Name=""60""}","60{#Name=""60""}"
"541{#Name=""541""}","541{#Name=""541""}"
"253{#Name=""253""}","253{#Name=""253""}"
"73{#Name=""73""}","73{#Name=""73""}"
"271{#Name=""271""}","271{#Name=""271""}"
"127{#Name=""127""}","127{#Name=""127""}"
"181{#Name=""181""}","181{#Name=""181""}"
"361{#Name=""361""}","361{#Name=""361""}"
"271{#Name=""271""}","271{#Name=""271""}"
"307{#Name=""307""}","307{#Name=""307""}"
"127{#Name=""127""}","127{#Name=""127""}"
"379{#Name=""379""}","379{#Name=""379""}"
"253{#Name=""253""}","253{#Name=""253""}"
"181{#Name=""181""}","181{#Name=""181""}"
"307{#Name=""307""}","307{#Name=""307""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""セント""}"," {#Name=""セント""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""セント""}"," {#Name=""セント""}"
"379{#Name=""379""}","379{#Name=""379""}"
"307{#Name=""307""}","307{#Name=""307""}"
"289{#Name=""289""}","289{#Name=""289""}"
"109{#Name=""109""}","109{#Name=""109""}"
"109{#Name=""109""}","109{#Name=""109""}"
"433{#Name=""433""}","433{#Name=""433""}"
"253{#Name=""253""}","253{#Name=""253""}"
"361{#Name=""361""}","361{#Name=""361""}"
"235{#Name=""235""}","235{#Name=""235""}"
"325{#Name=""325""}","325{#Name=""325""}"
"60{#Name=""60""}","60{#Name=""60""}"
"235{#Name=""235""}","235{#Name=""235""}"
"235{#Name=""235""}","235{#Name=""235""}"
"91{#Name=""91""}","91{#Name=""91""}"
"253{#Name=""253""}","253{#Name=""253""}"
"325{#Name=""325""}","325{#Name=""325""}"
"415{#Name=""415""}","415{#Name=""415""}"
"60{#Name=""60""}","60{#Name=""60""}"
"343{#Name=""343""}","343{#Name=""343""}"
"307{#Name=""307""}","307{#Name=""307""}"
"397{#Name=""397""}","397{#Name=""397""}"
"163{#Name=""163""}","163{#Name=""163""}"
"73{#Name=""73""}","73{#Name=""73""}"
"433{#Name=""433""}","433{#Name=""433""}"
"217{#Name=""217""}","217{#Name=""217""}"
"181{#Name=""181""}","181{#Name=""181""}"
"127{#Name=""127""}","127{#Name=""127""}"
"271{#Name=""271""}","271{#Name=""271""}"
"415{#Name=""415""}","415{#Name=""415""}"
"127{#Name=""127""}","127{#Name=""127""}"
"163{#Name=""163""}","163{#Name=""163""}"
"307{#Name=""307""}","307{#Name=""307""}"
"91{#Name=""91""}","91{#Name=""91""}"
"379{#Name=""379""}","379{#Name=""379""}"
"217{#Name=""217""}","217{#Name=""217""}"
"145{#Name=""145""}","145{#Name=""145""}"
"181{#Name=""181""}","181{#Name=""181""}"
"451{#Name=""451""}","451{#Name=""451""}"
"217{#Name=""217""}","217{#Name=""217""}"
"271{#Name=""271""}","271{#Name=""271""}"
"145{#Name=""145""}","145{#Name=""145""}"
"145{#Name=""145""}","145{#Name=""145""}"
"343{#Name=""343""}","343{#Name=""343""}"
"289{#Name=""289""}","289{#Name=""289""}"
"289{#Name=""289""}","289{#Name=""289""}"
"127{#Name=""127""}","127{#Name=""127""}"
"181{#Name=""181""}","181{#Name=""181""}"
"127{#Name=""127""}","127{#Name=""127""}"
"523{#Name=""523""}","523{#Name=""523""}"
"379{#Name=""379""}","379{#Name=""379""}"
"289{#Name=""289""}","289{#Name=""289""}"
"199{#Name=""199""}","199{#Name=""199""}"
"415{#Name=""415""}","415{#Name=""415""}"
"199{#Name=""199""}","199{#Name=""199""}"
"289{#Name=""289""}","289{#Name=""289""}"
"469{#Name=""469""}","469{#Name=""469""}"
"91{#Name=""91""}","91{#Name=""91""}"
"451{#Name=""451""}","451{#Name=""451""}"
"397{#Name=""397""}","397{#Name=""397""}"
"325{#Name=""325""}","325{#Name=""325""}"
"199{#Name=""199""}","199{#Name=""199""}"
"235{#Name=""235""}","235{#Name=""235""}"
"91{#Name=""91""}","91{#Name=""91""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""セント""}"," {#Name=""セント""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""セント""}"," {#Name=""セント""}"
"199{#Name=""199""}","199{#Name=""199""}"
"289{#Name=""289""}","289{#Name=""289""}"
"145{#Name=""145""}","145{#Name=""145""}"
"307{#Name=""307""}","307{#Name=""307""}"
"163{#Name=""163""}","163{#Name=""163""}"
"397{#Name=""397""}","397{#Name=""397""}"
"361{#Name=""361""}","361{#Name=""361""}"
"163{#Name=""163""}","163{#Name=""163""}"
"145{#Name=""145""}","145{#Name=""145""}"
"271{#Name=""271""}","271{#Name=""271""}"
"289{#Name=""289""}","289{#Name=""289""}"
"235{#Name=""235""}","235{#Name=""235""}"
"109{#Name=""109""}","109{#Name=""109""}"
"541{#Name=""541""}","541{#Name=""541""}"
"163{#Name=""163""}","163{#Name=""163""}"
"307{#Name=""307""}","307{#Name=""307""}"
"361{#Name=""361""}","361{#Name=""361""}"
"181{#Name=""181""}","181{#Name=""181""}"
"379{#Name=""379""}","379{#Name=""379""}"
"451{#Name=""451""}","451{#Name=""451""}"
"361{#Name=""361""}","361{#Name=""361""}"
"523{#Name=""523""}","523{#Name=""523""}"
"217{#Name=""217""}","217{#Name=""217""}"
"505{#Name=""505""}","505{#Name=""505""}"
"253{#Name=""253""}","253{#Name=""253""}"
"433{#Name=""433""}","433{#Name=""433""}"
"235{#Name=""235""}","235{#Name=""235""}"
"379{#Name=""379""}","379{#Name=""379""}"
"451{#Name=""451""}","451{#Name=""451""}"
"199{#Name=""199""}","199{#Name=""199""}"
"289{#Name=""289""}","289{#Name=""289""}"
"289{#Name=""289""}","289{#Name=""289""}"
"379{#Name=""379""}","379{#Name=""379""}"
"307{#Name=""307""}","307{#Name=""307""}"
"73{#Name=""73""}","73{#Name=""73""}"
"91{#Name=""91""}","91{#Name=""91""}"
"181{#Name=""181""}","181{#Name=""181""}"
"181{#Name=""181""}","181{#Name=""181""}"
"217{#Name=""217""}","217{#Name=""217""}"
"739{#Name=""739""}","739{#Name=""739""}"
"199{#Name=""199""}","199{#Name=""199""}"
"199{#Name=""199""}","199{#Name=""199""}"
"60{#Name=""60""}","60{#Name=""60""}"
"145{#Name=""145""}","145{#Name=""145""}"
"235{#Name=""235""}","235{#Name=""235""}"
"235{#Name=""235""}","235{#Name=""235""}"
"60{#Name=""60""}","60{#Name=""60""}"
"235{#Name=""235""}","235{#Name=""235""}"
"307{#Name=""307""}","307{#Name=""307""}"
"60{#Name=""60""}","60{#Name=""60""}"
"559{#Name=""559""}","559{#Name=""559""}"
"325{#Name=""325""}","325{#Name=""325""}"
"379{#Name=""379""}","379{#Name=""379""}"
"91{#Name=""91""}","91{#Name=""91""}"
"253{#Name=""253""}","253{#Name=""253""}"
"91{#Name=""91""}","91{#Name=""91""}"
"60{#Name=""60""}","60{#Name=""60""}"
"325{#Name=""325""}","325{#Name=""325""}"
"271{#Name=""271""}","271{#Name=""271""}"
"559{#Name=""559""}","559{#Name=""559""}"
"60{#Name=""60""}","60{#Name=""60""}"
"91{#Name=""91""}","91{#Name=""91""}"
"469{#Name=""469""}","469{#Name=""469""}"
"469{#Name=""469""}","469{#Name=""469""}"
"181{#Name=""181""}","181{#Name=""181""}"
"433{#Name=""433""}","433{#Name=""433""}"
"271{#Name=""271""}","271{#Name=""271""}"
"433{#Name=""433""}","433{#Name=""433""}"
"60{#Name=""60""}","60{#Name=""60""}"
"163{#Name=""163""}","163{#Name=""163""}"
"325{#Name=""325""}","325{#Name=""325""}"
"127{#Name=""127""}","127{#Name=""127""}"
"343{#Name=""343""}","343{#Name=""343""}"
"271{#Name=""271""}","271{#Name=""271""}"
"451{#Name=""451""}","451{#Name=""451""}"
"145{#Name=""145""}","145{#Name=""145""}"
"397{#Name=""397""}","397{#Name=""397""}"
"181{#Name=""181""}","181{#Name=""181""}"
"397{#Name=""397""}","397{#Name=""397""}"
"163{#Name=""163""}","163{#Name=""163""}"
"60{#Name=""60""}","60{#Name=""60""}"
"271{#Name=""271""}","271{#Name=""271""}"
"307{#Name=""307""}","307{#Name=""307""}"
"109{#Name=""109""}","109{#Name=""109""}"
"271{#Name=""271""}","271{#Name=""271""}"
"289{#Name=""289""}","289{#Name=""289""}"
"415{#Name=""415""}","415{#Name=""415""}"
"199{#Name=""199""}","199{#Name=""199""}"
"271{#Name=""271""}","271{#Name=""271""}"
"541{#Name=""541""}","541{#Name=""541""}"
"271{#Name=""271""}","271{#Name=""271""}"
"91{#Name=""91""}","91{#Name=""91""}"
"307{#Name=""307""}","307{#Name=""307""}"
"181{#Name=""181""}","181{#Name=""181""}"
"289{#Name=""289""}","289{#Name=""289""}"
"325{#Name=""325""}","325{#Name=""325""}"
"379{#Name=""379""}","379{#Name=""379""}"
"199{#Name=""199""}","199{#Name=""199""}"
"487{#Name=""487""}","487{#Name=""487""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""セント""}"," {#Name=""セント""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""セント""}"," {#Name=""セント""}"
"271{#Name=""271""}","271{#Name=""271""}"
"361{#Name=""361""}","361{#Name=""361""}"
"397{#Name=""397""}","397{#Name=""397""}"
"595{#Name=""595""}","595{#Name=""595""}"
"217{#Name=""217""}","217{#Name=""217""}"
"469{#Name=""469""}","469{#Name=""469""}"
"289{#Name=""289""}","289{#Name=""289""}"
"235{#Name=""235""}","235{#Name=""235""}"
"217{#Name=""217""}","217{#Name=""217""}"
"397{#Name=""397""}","397{#Name=""397""}"
"271{#Name=""271""}","271{#Name=""271""}"
"145{#Name=""145""}","145{#Name=""145""}"
"271{#Name=""271""}","271{#Name=""271""}"
"469{#Name=""469""}","469{#Name=""469""}"
"253{#Name=""253""}","253{#Name=""253""}"
"163{#Name=""163""}","163{#Name=""163""}"
"145{#Name=""145""}","145{#Name=""145""}"
"667{#Name=""667""}","667{#Name=""667""}"
"73{#Name=""73""}","73{#Name=""73""}"
"289{#Name=""289""}","289{#Name=""289""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""セント""}"," {#Name=""セント""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""セント""}"," {#Name=""セント""}"
"325{#Name=""325""}","325{#Name=""325""}"
"415{#Name=""415""}","415{#Name=""415""}"
"469{#Name=""469""}","469{#Name=""469""}"
"253{#Name=""253""}","253{#Name=""253""}"
"199{#Name=""199""}","199{#Name=""199""}"
"60{#Name=""60""}","60{#Name=""60""}"
"199{#Name=""199""}","199{#Name=""199""}"
"451{#Name=""451""}","451{#Name=""451""}"
"253{#Name=""253""}","253{#Name=""253""}"
"235{#Name=""235""}","235{#Name=""235""}"
"307{#Name=""307""}","307{#Name=""307""}"
"361{#Name=""361""}","361{#Name=""361""}"
"379{#Name=""379""}","379{#Name=""379""}"
"361{#Name=""361""}","361{#Name=""361""}"
"343{#Name=""343""}","343{#Name=""343""}"
"469{#Name=""469""}","469{#Name=""469""}"
"73{#Name=""73""}","73{#Name=""73""}"
"433{#Name=""433""}","433{#Name=""433""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""ディト""}"," {#Name=""ディト""}"
" {#Name=""セント""}"," {#Name=""セント""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""オクタ""}"," {#Name=""オクタ""}"
" {#Name=""デカート""}"," {#Name=""デカート""}"
" {#Name=""セント""}"," {#Name=""セント""}"
