"translation","source","can_modify"
"60","60","1"
"73","73","1"
"253","253","1"
"325","325","1"
"379","379","1"
"307","307","1"
"181","181","1"
"541","541","1"
"271","271","1"
"127","127","1"
"361","361","1"
"ディト","ディト","1"
"オクタ","オクタ","1"
"セント","セント","1"
"デカート","デカート","1"
"289","289","1"
"109","109","1"
"433","433","1"
"235","235","1"
"91","91","1"
"415","415","1"
"343","343","1"
"397","397","1"
"163","163","1"
"217","217","1"
"145","145","1"
"451","451","1"
"523","523","1"
"199","199","1"
"469","469","1"
"505","505","1"
"739","739","1"
"559","559","1"
"487","487","1"
"595","595","1"
"667","667","1"
"631","631","1"
"577","577","1"
"649","649","1"
"説明文","説明文","1"
