"translation","source"
"Story 0010","ストーリー００１０"
"Story 0020","ストーリー００２０"
"Story 1010","ストーリー１０１０"
"Story 1020","ストーリー１０２０"
"Story 1030","ストーリー１０３０"
"Story 1040","ストーリー１０４０"
"Story 2010","ストーリー２０１０"
"Story 2020","ストーリー２０２０"
"Story 2030","ストーリー２０３０"
"Story 2040","ストーリー２０４０"
"Story 2050","ストーリー２０５０"
"Story 2060","ストーリー２０６０"
"Story 3010","ストーリー３０１０"
"Story 3020","ストーリー３０２０"
"Story 3030","ストーリー３０３０"
"Story 3040","ストーリー３０４０"
"Story 3050","ストーリー３０５０"
"Story 3060","ストーリー３０６０"
"Story 4010","ストーリー４０１０"
"Story 4020","ストーリー４０２０"
"Story 4030","ストーリー４０３０"
"Story 4040","ストーリー４０４０"
"Story 5010","ストーリー５０１０"
"Story 5020","ストーリー５０２０"
"Story 5030","ストーリー５０３０"
"Story 5040","ストーリー５０４０"
"Story 3210","ストーリー３２１０"
"Story 3220","ストーリー３２２０"
"Story 3230","ストーリー３２３０"
"Story 3240","ストーリー３２４０"
"Story 3250","ストーリー３２５０"
"Story 4110","ストーリー４１１０"
"Story 4120","ストーリー４１２０"
"Story 4130","ストーリー４１３０"
"Story 5110","ストーリー５１１０"
"Story 5120","ストーリー５１２０"
"Story 2310","ストーリー２３１０"
"Story 2320","ストーリー２３２０"
"Story 3320","ストーリー３３２０"
"Story 4310","ストーリー４３１０"
"Story 4320","ストーリー４３２０"
"Story 1310","ストーリー１３１０"
"Story 5310","ストーリー５３１０"
"Story 5320","ストーリー５３２０"
"Subroot 1410","サブルート１４１０"
"Subroot 2410","サブルート２４１０"
"Subroot 4510","サブルート４５１０"
