"translation","source"
"Novo Jogo","Novo Jogo"
"Continuar","Continuar"
"Configurações","Configurações"
"Banco de Dados","Database"
"Mudar Trajes/Música","Change Outfits/Music"
"Pressione o botão START","Pressione o botão START"
"Selecione um arquivo de gravação para usar.","Select a recording file to use."
"Excluir Arquivo de Gravação","Delete Recording File"
"Excluir este arquivo de gravação?","Delete this recording file?"
"Iniciar uma nova campanha.","Begin a new campaign."
"Continuar uma campanha em andamento.","Continue a campaign in progress."
"Ajustar configurações de jogo.","Adjust various game settings."
"Ver as armas e personagens que aparecem na história.","View the weapons and characters that appear in the story."
"Mudar o traje da Zero, a aparência de Mikhail ou a música de fundo.","Change Zero's outfit, Mikhail's appearance, or the background music."
"Verificando dados atuais.{LF}Não desligue seu sistema PlayStation®3.","Checking current data.{LF}Do not turn off your PlayStation®3 system."
"Gravação {04}","Recording {04}"
"Novo Jogo","Novo Jogo"
"Qualquer progresso não salvo será perdido.{LF}Retornar à tela inicial?","Any unsaved progress will be lost.{LF}Return to the title screen?"
"Excluindo arquivo de gravação.{LF}Não desligue seu sistema PlayStation®3.","Deleting recording file.{LF}Do not turn off your PlayStation®3 system."
"Dados de salvamento criados por outro usuário foram carregados.{LF}Esses dados de salvamento não podem ser usados.{LF}Sobrescrever esses dados e criar novos dados de salvamento?","Save data created by another user was loaded.{LF}This save data cannot be used.{LF}Overwrite this data and create new save data?"
"Nenhum dado de salvamento atual encontrado.{LF}O sistema criará novos dados de salvamento.","No current save data found.{LF}The system will create new save data."
"Criando novos dados de salvamento.{LF}Não desligue seu sistema PlayStation®3.","Creating new save data.{LF}Do not turn off your PlayStation®3 system."
"Novos dados de salvamento criados.","New save data created."
"Sobrescrevendo dados de salvamento.{LF}Não desligue seu sistema PlayStation®3.","Overwriting save data.{LF}Do not turn off your PlayStation®3 system."
"Verificando conteúdo baixável válido.{LF}Não desligue seu sistema PlayStation®3.","Checking for valid downloadable content.{LF}Do not turn off your PlayStation®3 system."
"{06}>","{06}>"
"{06}>","{06}>"
"{06}>","{06}>"
