"translation","source"
"A espada da Zero. Eficaz contra as Intoners.{LF}Ela evolui à medida que o seu dragão cresce.","Zero's sword. Effective vs. Intoners.{LF}It levels up as your dragon grows."
"A espada da Zero. Eficaz contra as Intoners.{LF}Ela evolui à medida que o seu dragão cresce.","Zero's sword. Effective vs. Intoners.{LF}It levels up as your dragon grows."
"A espada da Zero. Eficaz contra as Intoners.{LF}Ela evolui à medida que o seu dragão cresce.","Zero's sword. Effective vs. Intoners.{LF}It levels up as your dragon grows."
"A espada da Zero. Eficaz contra as Intoners.{LF}Ela evolui à medida que o seu dragão cresce.","Zero's sword. Effective vs. Intoners.{LF}It levels up as your dragon grows."
"Uma espada de carrasco que impõe{LF}julgamento implacável sobre os pecadores.","An executioner's sword that passes{LF}merciless judgment on the sinful."
"Uma espada de carrasco que impõe{LF}julgamento implacável sobre os pecadores.","An executioner's sword that passes{LF}merciless judgment on the sinful."
"Uma espada de carrasco que impõe{LF}julgamento implacável sobre os pecadores.","An executioner's sword that passes{LF}merciless judgment on the sinful."
"Uma espada de carrasco que impõe{LF}julgamento implacável sobre os pecadores.","An executioner's sword that passes{LF}merciless judgment on the sinful."
"Uma espada modelada após uma árvore{LF}milenar. Ela produz um som lamentoso.","A sword modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma espada modelada após uma árvore{LF}milenar. Ela produz um som lamentoso.","A sword modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma espada modelada após uma árvore{LF}milenar. Ela produz um som lamentoso.","A sword modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma espada modelada após uma árvore{LF}milenar. Ela produz um som lamentoso.","A sword modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma espada decorativa passada{LF}pelos membros de uma família nobre.","A decorative sword passed across{LF}the generations by a noble family."
"Uma espada decorativa passada{LF}pelos anos por uma família nobre.","A decorative sword passed across{LF}the generations by a noble family."
"Uma espada decorativa passada{LF}pelos anos por uma família nobre.","A decorative sword passed across{LF}the generations by a noble family."
"Uma espada decorativa passada{LF}pelos anos por uma família nobre.","A decorative sword passed across{LF}the generations by a noble family."
"Uma espada que diz ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A sword said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma espada que diz ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A sword said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma espada que diz ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A sword said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma espada que diz ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A sword said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma espada pesada da qual{LF}protrudem várias pontas incrivelmente afiadas.","A heavy sword from which several{LF}incredibly sharp spikes protrude."
"Uma espada pesada da qual{LF}protrudem várias pontas incrivelmente afiadas.","A heavy sword from which several{LF}incredibly sharp spikes protrude."
"Uma espada pesada da qual{LF}protrudem várias pontas incrivelmente afiadas.","A heavy sword from which several{LF}incredibly sharp spikes protrude."
"Uma espada pesada da qual{LF}protrudem várias pontas incrivelmente afiadas.","A heavy sword from which several{LF}incredibly sharp spikes protrude."
"Uma espada que foi carregada por{LF}um missionário de longe.","A sword once carried by a{LF}missionary from afar."
"Uma espada que foi carregada por{LF}um missionário de longe.","A sword once carried by a{LF}missionary from afar."
"Uma espada que foi carregada por{LF}um missionário de longe.","A sword once carried by a{LF}missionary from afar."
"Uma espada que foi carregada por{LF}um missionário de longe.","A sword once carried by a{LF}missionary from afar."
"Uma espada impiedosa que ajuda a sua{LF}Balanço de Sangue se encher mais rapidamente.","A ruthless sword that helps your{LF}Blood Gauge fill more quickly."
"Uma espada impiedosa que ajuda a sua{LF}Balanço de Sangue se encher mais rapidamente.","A ruthless sword that helps your{LF}Blood Gauge fill more quickly."
"Uma espada impiedosa que ajuda a sua{LF}Balanço de Sangue se encher mais rapidamente.","A ruthless sword that helps your{LF}Blood Gauge fill more quickly."
"Uma espada impiedosa que ajuda a sua{LF}Balanço de Sangue se encher mais rapidamente.","A ruthless sword that helps your{LF}Blood Gauge fill more quickly."
"Fábulas dizem que essa espada curta foi usada{LF}para matar um certo monstro.","Fables say this short sword was used{LF}to slay a certain monster."
"Fábulas dizem que essa espada curta foi usada{LF}para matar um certo monstro.","Fables say this short sword was used{LF}to slay a certain monster."
"Fábulas dizem que essa espada curta foi usada{LF}para matar um certo monstro.","Fables say this short sword was used{LF}to slay a certain monster."
"Fábulas dizem que essa espada curta foi usada{LF}para matar um certo monstro.","Fables say this short sword was used{LF}to slay a certain monster."
"Alguns dizem que essa espada é a mais pesada{LF}de todas as armas de combate corpo a corpo do mundo.","Some say this sword is the heaviest{LF}of all the world's melee weapons."
"Alguns dizem que essa espada é a mais pesada{LF}de todas as armas de combate corpo a corpo do mundo.","Some say this sword is the heaviest{LF}of all the world's melee weapons."
"Alguns dizem que essa espada é a mais pesada{LF}de todas as armas de combate corpo a corpo do mundo.","Some say this sword is the heaviest{LF}of all the world's melee weapons."
"Alguns dizem que essa espada é a mais pesada{LF}de todas as armas de combate corpo a corpo do mundo.","Some say this sword is the heaviest{LF}of all the world's melee weapons."
"Uma espada usada por uma mulher santa{LF}celebrada.","A sword used by a celebrated holy{LF}woman."
"Uma espada usada por uma mulher santa{LF}celebrada.","A sword used by a celebrated holy{LF}woman."
"Uma espada usada por uma mulher santa{LF}celebrada.","A sword used by a celebrated holy{LF}woman."
"Uma espada usada por uma mulher santa{LF}celebrada.","A sword used by a celebrated holy{LF}woman."
"Uma espada feita de mármore.","A sword made of marble."
"Uma espada feita de mármore.","A sword made of marble."
"Uma espada feita de mármore.","A sword made of marble."
"Uma espada feita de mármore.","A sword made of marble."
"Uma espada baseada em nuvens formadas por{LF}um cavalo celestial cruzando os céus.","A sword based on clouds formed by{LF}a heavenly horse crossing the skies."
"Uma espada baseada em nuvens formadas por{LF}um cavalo celestial cruzando os céus.","A sword based on clouds formed by{LF}a heavenly horse crossing the skies."
"Uma espada baseada em nuvens formadas por{LF}um cavalo celestial cruzando os céus.","A sword based on clouds formed by{LF}a heavenly horse crossing the skies."
"Uma espada baseada em nuvens formadas por{LF}um cavalo celestial cruzando os céus.","A sword based on clouds formed by{LF}a heavenly horse crossing the skies."
"A espada usada pelo discípulo Cent.","The sword used by the disciple Cent."
"A espada usada pelo discípulo Cent.","The sword used by the disciple Cent."
"A espada usada pelo discípulo Cent.","The sword used by the disciple Cent."
"A espada usada pelo discípulo Cent.","The sword used by the disciple Cent."
"Uma espada infundida com as orações de{LF}uma jovem garota.","A sword infused with the prayers of{LF}a young girl."
"Uma espada infundida com as orações de{LF}uma jovem garota.","A sword infused with the prayers of{LF}a young girl."
"Uma espada infundida com as orações de{LF}uma jovem garota.","A sword infused with the prayers of{LF}a young girl."
"Uma espada infundida com as orações de{LF}uma jovem garota.","A sword infused with the prayers of{LF}a young girl."
"A espada de um homem outrora chamado de{LF}""Imperador Santo."" Eficaz contra os mortos-vivos.","The sword of a man once called the{LF}""Holy Emperor."" Effective vs. undead."
"A espada de um homem outrora chamado de{LF}""Imperador Santo."" Eficaz contra os mortos-vivos.","The sword of a man once called the{LF}""Holy Emperor."" Effective vs. undead."
"A espada de um homem outrora chamado de{LF}""Imperador Santo."" Eficaz contra os mortos-vivos.","The sword of a man once called the{LF}""Holy Emperor."" Effective vs. undead."
"A espada de um homem outrora chamado o{LF}""Imperador Santo."" Eficaz contra os mortos-vivos.","The sword of a man once called the{LF}""Holy Emperor."" Effective vs. undead."
"Uma lâmina de uma terra distante e amaldiçoada.","A blade from a far-off, cursed land."
"Uma lâmina de uma terra distante e amaldiçoada.","A blade from a far-off, cursed land."
"Uma lâmina de uma terra distante e amaldiçoada.","A blade from a far-off, cursed land."
"Uma lâmina de uma terra distante e amaldiçoada.","A blade from a far-off, cursed land."
"Uma espada élfica ligada pela tristeza.","An elven sword bound by sadness."
"Uma espada élfica ligada pela tristeza.","An elven sword bound by sadness."
"Uma espada élfica ligada pela tristeza.","An elven sword bound by sadness."
"Uma espada élfica ligada pela tristeza.","An elven sword bound by sadness."
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"-","-"
"A lança usada pelo discípulo Dito.","The spear used by the disciple Dito."
"A lança usada pelo discípulo Dito.","The spear used by the disciple Dito."
"A lança usada pelo discípulo Dito.","The spear used by the disciple Dito."
"A lança usada pelo discípulo Dito.","The spear used by the disciple Dito."
"Uma lança dita ser um símbolo de verdadeira{LF}amizade.","A spear said to be a symbol of true{LF}friendship."
"Uma lança dita ser um símbolo de verdadeira{LF}amizade.","A spear said to be a symbol of true{LF}friendship."
"Uma lança dita ser um símbolo de verdadeira{LF}amizade.","A spear said to be a symbol of true{LF}friendship."
"Uma lança dita ser um símbolo de verdadeira{LF}amizade.","A spear said to be a symbol of true{LF}friendship."
"Uma lança dita ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A spear said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma lança dita ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A spear said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma lança dita ter aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A spear said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma lança que teria aprisionado{LF}o próprio trovão. Você pode ouvir seu rugido.","A spear said to have imprisoned{LF}thunder itself. You can hear it rumble."
"Uma lança modelada após uma árvore milenar-{LF}velha. Ela faz um som lamentoso.","A spear modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma lança modelada após uma árvore milenar-{LF}velha. Ela faz um som lamentoso.","A spear modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma lança modelada após uma árvore milenar-{LF}velha. Ela faz um som lamentoso.","A spear modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma lança modelada após uma árvore milenar-{LF}velha. Ela faz um som lamentoso.","A spear modeled after a millennium-{LF}old tree. It makes a mournful sound."
"Uma lança deixada para trás por um vigia{LF}de rosto sombrio.","A spear left behind by a grim-faced{LF}watchman."
"Uma lança deixada para trás por um vigia{LF}de rosto sombrio.","A spear left behind by a grim-faced{LF}watchman."
"Uma lança deixada para trás por um vigia{LF}de rosto sombrio.","A spear left behind by a grim-faced{LF}watchman."
"Uma lança deixada para trás por um vigia{LF}de rosto sombrio.","A spear left behind by a grim-faced{LF}watchman."
"Uma lança de traição outrora pertencente a{LF}um homem que usurpou o trono.","A spear of betrayal once owned by{LF}a man who usurped the throne."
"Uma lança de traição outrora pertencente a{LF}um homem que usurpou o trono.","A spear of betrayal once owned by{LF}a man who usurped the throne."
"Uma lança de traição outrora pertencente a{LF}um homem que usurpou o trono.","A spear of betrayal once owned by{LF}a man who usurped the throne."
"Uma lança de traição outrora pertencente a{LF}um homem que usurpou o trono.","A spear of betrayal once owned by{LF}a man who usurped the throne."
"Um cajado que foi passado de um{LF}poderoso conjurador para o próximo.","A staff that's been passed down from{LF}one powerful conjurer to the next."
"Um cajado que foi passado de um{LF}poderoso conjurador para o próximo.","A staff that's been passed down from{LF}one powerful conjurer to the next."
"Um cajado que foi passado de um poderoso conjurador para o próximo.","A staff that's been passed down from{LF}one powerful conjurer to the next."
"Um cajado que foi passado de um poderoso conjurador para o próximo.","A staff that's been passed down from{LF}one powerful conjurer to the next."
"A lança de um dragão renomado.","The spear of a renowned dragon."
"A lança de um dragão renomado.","The spear of a renowned dragon."
"A lança de um dragão renomado.","The spear of a renowned dragon."
"A lança de um dragão renomado.","The spear of a renowned dragon."
"Essa lança fazia parte do que se tornou conhecido como um projeto de pesquisa amaldiçoado.","This spear was part of what became{LF}known as a cursed research project."
"Essa lança fazia parte do que se tornou conhecido como um projeto de pesquisa amaldiçoado.","This spear was part of what became{LF}known as a cursed research project."
"Essa lança fazia parte do que se tornou conhecido como um projeto de pesquisa amaldiçoado.","This spear was part of what became{LF}known as a cursed research project."
"Essa lança fazia parte do que se tornou conhecido como um projeto de pesquisa amaldiçoado.","This spear was part of what became{LF}known as a cursed research project."
"Uma lança que uma vez ameaçou o trono real. Provoca medo em inimigos mais fracos.","A spear that once threatened the royal{LF}throne. Strikes fear in weaker foes."
"Uma lança que uma vez ameaçou o trono real. Provoca medo em inimigos mais fracos.","A spear that once threatened the royal{LF}throne. Strikes fear in weaker foes."
"Uma lança que uma vez ameaçou o trono real. Provoca medo em inimigos mais fracos.","A spear that once threatened the royal{LF}throne. Strikes fear in weaker foes."
