"translation","source","can_modify"
"Zero's Blade Lv. 1","Zero's Blade Lv. 1","1"
"Zero's Blade Lv. 2","Zero's Blade Lv. 2","1"
"Zero's Blade Lv. 3","Zero's Blade Lv. 3","1"
"Zero's Blade Lv. 4","Zero's Blade Lv. 4","1"
"Sinful Scream Lv. 1","Sinful Scream Lv. 1","1"
"Sinful Scream Lv. 2","Sinful Scream Lv. 2","1"
"Sinful Scream Lv. 3","Sinful Scream Lv. 3","1"
"Sinful Scream Lv. 4","Sinful Scream Lv. 4","1"
"Eternal Voice Lv. 1","Eternal Voice Lv. 1","1"
"Eternal Voice Lv. 2","Eternal Voice Lv. 2","1"
"Eternal Voice Lv. 3","Eternal Voice Lv. 3","1"
"Eternal Voice Lv. 4","Eternal Voice Lv. 4","1"
"Ceremonial Blade Lv. 1","Ceremonial Blade Lv. 1","1"
"Ceremonial Blade Lv. 2","Ceremonial Blade Lv. 2","1"
"Ceremonial Blade Lv. 3","Ceremonial Blade Lv. 3","1"
"Ceremonial Blade Lv. 4","Ceremonial Blade Lv. 4","1"
"Thunder Lord Lv. 1","Thunder Lord Lv. 1","1"
"Thunder Lord Lv. 2","Thunder Lord Lv. 2","1"
"Thunder Lord Lv. 3","Thunder Lord Lv. 3","1"
"Thunder Lord Lv. 4","Thunder Lord Lv. 4","1"
"Virginal Sin Lv. 1","Virginal Sin Lv. 1","1"
"Virginal Sin Lv. 2","Virginal Sin Lv. 2","1"
"Virginal Sin Lv. 3","Virginal Sin Lv. 3","1"
"Virginal Sin Lv. 4","Virginal Sin Lv. 4","1"
"Saintly Brimstone Lv. 1","Saintly Brimstone Lv. 1","1"
"Saintly Brimstone Lv. 2","Saintly Brimstone Lv. 2","1"
"Saintly Brimstone Lv. 3","Saintly Brimstone Lv. 3","1"
"Saintly Brimstone Lv. 4","Saintly Brimstone Lv. 4","1"
"Bloodletter Lv. 1","Bloodletter Lv. 1","1"
"Bloodletter Lv. 2","Bloodletter Lv. 2","1"
"Bloodletter Lv. 3","Bloodletter Lv. 3","1"
"Bloodletter Lv. 4","Bloodletter Lv. 4","1"
"False Pact Lv. 1","False Pact Lv. 1","1"
"False Pact Lv. 2","False Pact Lv. 2","1"
"False Pact Lv. 3","False Pact Lv. 3","1"
"False Pact Lv. 4","False Pact Lv. 4","1"
"Broken Iron Lv. 1","Broken Iron Lv. 1","1"
"Broken Iron Lv. 2","Broken Iron Lv. 2","1"
"Broken Iron Lv. 3","Broken Iron Lv. 3","1"
"Broken Iron Lv. 4","Broken Iron Lv. 4","1"
"Gaia's Flame Lv. 1","Gaia's Flame Lv. 1","1"
"Gaia's Flame Lv. 2","Gaia's Flame Lv. 2","1"
"Gaia's Flame Lv. 3","Gaia's Flame Lv. 3","1"
"Gaia's Flame Lv. 4","Gaia's Flame Lv. 4","1"
"Moonfire Lv. 1","Moonfire Lv. 1","1"
"Moonfire Lv. 2","Moonfire Lv. 2","1"
"Moonfire Lv. 3","Moonfire Lv. 3","1"
"Moonfire Lv. 4","Moonfire Lv. 4","1"
"Skyward Thunder Lv. 1","Skyward Thunder Lv. 1","1"
"Skyward Thunder Lv. 2","Skyward Thunder Lv. 2","1"
"Skyward Thunder Lv. 3","Skyward Thunder Lv. 3","1"
"Skyward Thunder Lv. 4","Skyward Thunder Lv. 4","1"
"Cries and Whispers Lv. 1","Cries and Whispers Lv. 1","1"
"Cries and Whispers Lv. 2","Cries and Whispers Lv. 2","1"
"Cries and Whispers Lv. 3","Cries and Whispers Lv. 3","1"
"Cries and Whispers Lv. 4","Cries and Whispers Lv. 4","1"
"Once a Woman Lv. 1","Once a Woman Lv. 1","1"
"Once a Woman Lv. 2","Once a Woman Lv. 2","1"
"Once a Woman Lv. 3","Once a Woman Lv. 3","1"
"Once a Woman Lv. 4","Once a Woman Lv. 4","1"
